"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:40 PM"
"Sample Rate","20"
"Duration","34"
"Segment","Session"
"Beacon Markers","34"
"Segment Times","0:34.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.0000","12.6000","2.8730","48.2812","-0.4736","-0.2036","-0.1903","-2.9648","0.2380","0.2177","-0.0302","0.0000","4882.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.4000","11.2000","0.0000","501.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","16.8000","16.8000","3.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","16.8000","0.0000","16.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0000","12.6000","2.8730","48.2812","-0.4736","-0.2023","-0.1772","-2.9463","0.1364","0.1858","-0.0425","0.0000","4882.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.4000","11.2000","0.0000","501.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","16.8000","16.8000","3.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","16.8000","0.0000","16.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0000","12.6000","2.8730","48.2812","-0.4736","-0.2111","-0.1793","-2.9414","0.2047","0.1995","0.0502","0.0000","4882.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.4000","11.2000","0.0000","501.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","16.8000","16.8000","3.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","16.8000","0.0000","16.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0000","12.6000","2.8730","48.2812","-0.4736","-0.2222","-0.1835","-2.9648","0.2848","0.2164","0.0749","0.0000","4882.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.4000","11.2000","0.0000","501.0000","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","16.8000","16.8000","3.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","16.8000","0.0000","16.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0000","12.6000","2.8730","48.2812","-0.4736","-0.2057","-0.1719","-2.9746","0.3269","0.1871","0.0387","0.0000","4882.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.6286","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.4000","11.2000","0.0000","501.2286","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","16.8000","16.8000","3.5192","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","16.8000","0.0000","16.8000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0000","12.6000","2.5599","48.2812","-0.5163","-0.1936","-0.1693","-2.9512","0.3097","0.1959","0.0149","0.0000","4871.7266","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.7714","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.3991","11.1792","0.0000","501.7048","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9500","0.0000","0.0000","0.0000","15.9346","15.9346","12.1731","0.0000","0.0000","2.0000","0.0000","0.0000","2.7090","0.0000","0.0000","15.9346","0.0000","15.9346","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0070","12.6150","2.0819","48.2812","-0.5978","-0.1884","-0.1718","-2.9375","0.2935","0.1804","0.0260","0.0000","4358.0474","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.3585","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5000","0.0000","0.0000","1.3519","10.1415","0.0000","501.8207","0.0000","0.0000","23.8462","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9590","0.0000","0.0000","0.0000","14.4923","14.4923","20.8269","0.0000","0.0000","2.0000","0.0000","0.0000","2.6730","0.0000","0.0000","14.4923","0.0000","14.4923","0.0000","0.0000","1.3533","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0144","12.6310","1.9069","48.2812","-0.5111","-0.1874","-0.1713","-2.9287","0.2861","0.1623","0.0822","0.0000","3844.3679","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.3019","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5356","0.0000","0.0000","1.3047","9.1038","0.0000","501.3491","0.0000","0.0000","23.8221","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9825","0.0000","0.0000","0.0000","13.7250","13.7250","13.5333","0.0000","0.0000","2.0000","0.0000","0.0000","2.6370","0.0000","0.0000","13.7250","0.0000","13.7250","0.0000","0.0000","1.3065","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.0219","12.6470","1.6623","48.2812","-0.4708","-0.1698","-0.1606","-2.9180","0.2993","0.1833","0.0891","0.0000","3451.6057","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.8726","0.0000","83.3500","0.0000","0.0000","0.0000","0.0000","12.5837","0.0000","0.0000","1.2567","8.3077","0.0000","500.7451","0.0000","0.0000","23.7981","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0130","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5808","13.5808","5.9143","0.0000","0.0000","2.0000","0.0000","0.0000","2.6019","0.0000","0.0000","13.5808","0.0000","13.5808","0.0000","0.0000","1.2583","0.0000","0.0000","0.0000","0.0000","0.0000"
