"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:30 PM"
"Sample Rate","20"
"Duration","11"
"Segment","Session"
"Beacon Markers","11"
"Segment Times","0:11.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"35.3438","13.2480","0.8652","72.8750","-0.0446","-0.2008","-0.2211","-2.9355","0.6191","0.9600","0.0945","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8652","72.8750","-0.0446","-0.1953","-0.2256","-2.9258","0.4178","0.7773","0.1779","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8652","72.8750","-0.0446","-0.1824","-0.2174","-2.9043","0.5664","0.3022","0.0800","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8652","72.8750","-0.0446","-0.1787","-0.2121","-2.8965","0.5583","0.8586","0.0133","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8652","72.8750","-0.0446","-0.1898","-0.2227","-2.9238","0.4646","1.9346","-0.1100","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8723","72.8750","-0.0177","-0.1898","-0.2319","-2.9414","0.4880","2.0166","-0.1079","0.0000","2283.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","2.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.2480","0.8899","72.8750","-0.0441","-0.1942","-0.2305","-2.9883","0.7939","1.9648","-0.1681","0.0000","2284.1262","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.0000","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0202","0.0000","0.0000","1.6000","6.7000","0.0000","507.0000","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9700","0.0000","0.0000","0.0000","13.8000","13.8000","7.7745","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6202","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3409","13.2482","0.8984","72.8750","-0.0928","-0.1951","-0.2476","-3.0215","1.0237","0.6625","0.1026","0.0000","2340.4370","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","498.5728","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0683","0.0000","0.0000","1.6000","6.8471","0.0000","506.0291","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0272","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9695","0.0000","0.0000","0.0000","13.7819","13.7819","17.0882","0.0000","0.0000","2.0000","0.0000","0.0000","2.2660","0.0000","0.0000","13.7819","0.0000","13.7819","0.0000","0.0000","1.6683","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3320","13.2490","0.9197","72.8750","-0.0654","-0.1740","-0.2251","-2.8984","1.1289","-0.0443","0.2419","0.0000","2396.7476","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.1456","0.0000","72.6500","0.0000","0.0000","0.0000","0.0000","13.0838","0.0000","0.0000","1.6000","6.9941","0.0000","505.0583","0.0000","0.0000","21.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0239","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9690","0.0000","0.0000","0.0000","13.7343","13.7343","17.1698","0.0000","0.0000","2.0000","0.0000","0.0000","2.2663","0.0000","0.0000","13.7343","0.0000","13.7343","0.0000","0.0000","1.6840","0.0000","0.0000","0.0000","0.0000","0.0000"
