"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:02 PM"
"Sample Rate","20"
"Duration","218"
"Segment","Session"
"Beacon Markers","218"
"Segment Times","3:38.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"36.9688","13.2480","0.9004","84.0625","1.8115","-0.1333","-0.2158","-2.9570","3.5078","2.3262","16.6406","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3300","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9004","84.0625","1.8115","-0.1324","-0.2070","-2.9434","3.8467","2.1895","16.5000","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3300","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9004","84.0625","1.8115","-0.1233","-0.2058","-2.9414","3.7480","2.0762","16.5312","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3300","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9004","84.0625","1.8115","-0.1203","-0.2037","-2.9590","3.4111","2.2920","16.4531","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3300","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9010","84.0625","1.8046","-0.1381","-0.2025","-2.9473","3.6484","2.2344","16.4062","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3300","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9146","84.0625","1.6568","-0.1178","-0.1889","-2.9473","3.6465","2.7471","16.1875","0.0000","2744.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.0000","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.7000","7.7000","0.0000","508.0000","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9510","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","0.9524","0.0000","0.0000","2.0000","0.0000","0.0000","2.3306","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9152","84.0625","2.0763","-0.1211","-0.2109","-2.9785","3.3438","2.6035","16.1250","0.0000","2733.8113","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.5619","0.0000","78.5500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6575","7.7000","0.0000","506.9048","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9515","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","0.4762","0.0000","0.0000","2.0000","0.0000","0.0000","2.3325","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.2480","0.9197","84.0625","2.2520","-0.1195","-0.1927","-2.9336","3.6719","2.2314","16.0859","0.0000","2722.4905","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.6095","0.0000","78.5553","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6104","7.7000","0.0000","504.5238","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9534","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","0.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3346","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5905","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9673","13.2432","0.9359","84.0625","1.9173","-0.1318","-0.1937","-2.9395","3.9551","2.4258","15.8906","0.0000","2688.8750","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.1747","0.0000","78.5795","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.6000","7.5875","0.0000","503.3495","0.0000","0.0000","21.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9560","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9880","0.0000","0.0000","0.0000","13.7000","13.7000","6.1905","0.0000","0.0000","2.0000","0.0000","0.0000","2.3374","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5429","0.0000","0.0000","0.0000","0.0000","0.0000"
