"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:37 PM"
"Sample Rate","20"
"Duration","26"
"Segment","Session"
"Beacon Markers","26"
"Segment Times","0:26.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1804","-0.1498","-2.9473","0.7446","0.3860","0.0791","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1804","-0.1498","-2.9482","0.7424","0.3781","0.0838","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1802","-0.1494","-2.9492","0.7437","0.3899","0.0722","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1801","-0.1495","-2.9463","0.7595","0.3967","0.0703","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1801","-0.1489","-2.9492","0.7554","0.3887","0.0548","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0302","54.5000","1.5605","-0.1809","-0.1489","-2.9492","0.7527","0.3699","0.0657","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0304","54.5000","1.5604","-0.1801","-0.1498","-2.9492","0.7393","0.3699","0.0791","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0000","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","503.0000","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0324","54.5000","1.5611","-0.1801","-0.1496","-2.9492","0.7405","0.3724","0.0781","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.2857","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","0.0000","0.0000","502.8571","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"36.9688","13.0080","0.0299","54.5000","1.5741","-0.1812","-0.1490","-2.9492","0.7251","0.3757","0.0483","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.9048","0.0000","76.2500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.6981","0.0000","0.0000","502.3810","0.0000","0.0000","23.6500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.3490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.6000","14.6000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0020","0.0000","0.0000","14.6000","0.0000","14.6000","0.0000","0.0000","1.6413","0.0000","0.0000","0.0000","0.0000","0.0000"
