"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:05 PM"
"Sample Rate","20"
"Duration","457"
"Segment","Session"
"Beacon Markers","457"
"Segment Times","7:37.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.2137","-0.1331","-2.9688","0.8965","0.4771","0.1008","0.0000","3008.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3000","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4060","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.1606","-0.0941","-2.9727","0.8931","0.4913","0.0766","0.0000","3008.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3000","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4060","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.1119","-0.0810","-2.9590","0.9536","0.5210","0.0765","0.0000","3008.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3000","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4060","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.0878","-0.0957","-2.9355","0.9465","0.5071","0.0867","0.0000","3008.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3000","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4060","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.0923","-0.1223","-2.9238","0.8940","0.4746","0.0864","0.0000","3008.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3000","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4060","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8975","47.0938","-0.0884","-0.1160","-0.1487","-2.9287","0.9226","0.4988","0.1077","0.0000","2998.4424","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3067","7.8000","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4062","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3058","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8604","47.0938","-0.5234","-0.1594","-0.1790","-2.9316","0.9507","0.5083","0.1248","0.0000","2930.1731","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","503.0000","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3548","7.7695","0.0000","509.0000","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","1.5094","0.0000","0.0000","2.0000","0.0000","0.0000","2.4076","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3538","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8291","47.0938","-0.4390","-0.2241","-0.2112","-2.9346","0.9246","0.4958","0.0983","0.0000","2867.1321","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","501.6415","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3972","7.6743","0.0000","509.9057","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","0.8863","0.0000","0.0000","0.0000","0.0000","1.0310","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","5.7547","0.0000","0.0000","2.0000","0.0000","0.0000","2.4089","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3981","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.3200","1.8262","47.0938","-0.7310","-0.2488","-0.1987","-2.9451","0.8771","0.5335","0.1026","0.0000","2886.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","498.8113","0.0000","63.9500","0.0000","0.0000","0.0000","0.0000","13.3000","0.0000","0.0000","1.3500","7.6000","0.0000","511.7924","0.0000","0.0000","22.3500","0.0000","0.0000","0.0000","0.6493","0.0000","0.0000","0.0000","0.0000","1.0143","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","10.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4056","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3509","0.0000","0.0000","0.0000","0.0000","0.0000"
