"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"32.9375","13.5200","0.6212","101.0625","1.0877","-0.2051","-0.1830","-2.9285","-0.9984","1.4077","-1.1269","0.0000","2367.6116","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.6190","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.5000","6.7548","0.0000","509.1905","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9836","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9740","0.0000","0.0000","0.0000","13.7893","13.7893","15.2330","0.0000","0.0000","2.0000","0.0000","0.0000","2.2850","0.0000","0.0000","13.7893","0.0000","13.7893","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.6263","101.0625","1.9036","-0.2112","-0.1643","-2.9759","-0.8907","1.6673","-1.2668","0.0000","2389.4563","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","494.7647","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.5000","6.7000","0.0000","509.5882","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9743","0.0000","0.0000","0.0000","13.7408","13.7408","16.2039","0.0000","0.0000","2.0000","0.0000","0.0000","2.2855","0.0000","0.0000","13.7408","0.0000","13.7408","0.0000","0.0000","1.4481","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9375","13.5200","0.6222","101.0625","2.2203","-0.2037","-0.1409","-2.9674","-0.9609","1.2039","-1.4327","0.0000","2422.5481","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","497.7059","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.4452","6.7000","0.0000","510.5686","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9748","0.0000","0.0000","0.0000","13.6923","13.6923","17.2596","0.0000","0.0000","2.0000","0.0000","0.0000","2.2860","0.0000","0.0000","13.6923","0.0000","13.6923","0.0000","0.0000","1.4962","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9380","13.5212","0.6251","101.0625","2.6580","-0.2239","-0.1389","-2.9456","-1.1726","0.4358","-1.9188","0.0000","2473.9905","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.0385","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.3010","6.7538","0.0000","508.3077","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9890","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9755","0.0000","0.0000","0.0000","13.6442","13.6442","18.7019","0.0000","0.0000","2.0000","0.0000","0.0000","2.2892","0.0000","0.0000","13.6442","0.0000","13.6442","0.0000","0.0000","1.4549","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9425","13.5311","0.6487","101.0625","2.7935","-0.2413","-0.1236","-2.9336","-0.8921","0.0432","-2.8145","0.0000","2502.7886","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.7500","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.2144","6.8500","0.0000","503.5000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9861","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9765","0.0000","0.0000","0.0000","13.6000","13.6000","19.5192","0.0000","0.0000","2.0000","0.0000","0.0000","2.2926","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4059","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9470","13.5410","0.6398","101.0625","2.9054","-0.2316","-0.1115","-2.9434","-1.1113","0.1743","-3.7520","0.0000","2478.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.3010","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.2625","6.9466","0.0000","502.6311","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9841","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9772","0.0000","0.0000","0.0000","13.6000","13.6000","14.7115","0.0000","0.0000","2.0000","0.0000","0.0000","2.2943","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3581","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9514","13.5509","0.6648","101.0625","2.5525","-0.2366","-0.1002","-2.9424","-1.0737","-0.6992","-4.5938","0.0000","2474.7378","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.8447","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.3000","7.0437","0.0000","506.0291","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9846","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9777","0.0000","0.0000","0.0000","13.6000","13.6000","10.0485","0.0000","0.0000","2.0000","0.0000","0.0000","2.2957","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3105","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9559","13.5608","0.6572","101.0625","2.5622","-0.2286","-0.0749","-2.9160","-0.6260","-1.5361","-5.5664","0.0000","2541.7283","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.2000","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.3000","7.1200","0.0000","508.6000","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9857","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9784","0.0000","0.0000","0.0000","13.6000","13.6000","12.4757","0.0000","0.0000","2.0000","0.0000","0.0000","2.2983","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3379","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9604","13.5707","0.6545","101.0625","2.9684","-0.2381","-0.0629","-2.9443","-0.5439","-1.3843","-6.6191","0.0000","2595.3591","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.4381","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.3000","7.1676","0.0000","510.0286","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9891","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9793","0.0000","0.0000","0.0000","13.6000","13.6000","14.9029","0.0000","0.0000","2.0000","0.0000","0.0000","2.3012","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3864","0.0000","0.0000","0.0000","0.0000","0.0000"
,"32.9648","13.5806","0.6872","101.0625","3.4917","-0.2400","-0.0747","-2.9629","-0.7656","-1.4121","-7.4805","0.0000","2578.8542","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","498.1747","0.0000","95.5500","0.0000","0.0000","0.0000","0.0000","13.4000","0.0000","0.0000","1.3000","7.1843","0.0000","511.1553","0.0000","0.0000","21.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9922","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9802","0.0000","0.0000","0.0000","13.6000","13.6000","11.7692","0.0000","0.0000","2.0000","0.0000","0.0000","2.3051","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
