"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:16 PM"
"Sample Rate","20"
"Duration","21"
"Segment","Session"
"Beacon Markers","21"
"Segment Times","0:21.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.1562","13.1360","0.9077","83.1875","-0.7256","-0.1600","-0.1764","-2.9551","-2.9883","-0.0878","-9.2500","0.0000","2653.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.4000","0.0000","505.0000","0.0000","0.0000","25.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9670","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3390","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9077","83.1875","-0.7256","-0.1573","-0.1704","-2.9512","-2.9668","0.0879","-9.0430","0.0000","2653.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.4000","0.0000","505.0000","0.0000","0.0000","25.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9670","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3390","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9077","83.1875","-0.7256","-0.1586","-0.1749","-2.9316","-2.9492","0.4692","-8.6719","0.0000","2653.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.4000","0.0000","505.0000","0.0000","0.0000","25.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9670","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3390","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9077","83.1875","-0.7256","-0.1583","-0.1838","-2.9258","-2.7158","0.3241","-8.3438","0.0000","2653.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.4000","0.0000","505.0000","0.0000","0.0000","25.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9670","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3390","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9035","83.1875","-0.7272","-0.1527","-0.1875","-2.9434","-2.2812","0.2756","-7.9492","0.0000","2633.5098","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.3366","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.3456","0.0000","504.3267","0.0000","0.0000","25.9466","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9672","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3374","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.8993","83.1875","-0.6742","-0.1520","-0.2050","-2.9541","-1.7773","0.4030","-7.3789","0.0000","2598.7058","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.3267","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","7.2485","0.0000","502.3465","0.0000","0.0000","25.9225","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9687","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9870","0.0000","0.0000","0.0000","13.7000","13.7000","15.0680","0.0000","0.0000","2.0000","0.0000","0.0000","2.3345","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9187","83.1875","-0.5896","-0.1230","-0.2096","-2.9297","-1.3369","0.3594","-6.5234","0.0000","2641.1809","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.4019","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4752","7.3442","0.0000","501.2991","0.0000","0.0000","25.8983","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9707","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9874","0.0000","0.0000","0.0000","13.6670","13.6670","8.7573","0.0000","0.0000","2.0000","0.0000","0.0000","2.3344","0.0000","0.0000","13.6670","0.0000","13.6670","0.0000","0.0000","1.4769","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1360","0.9396","83.1875","-0.7253","-0.1412","-0.2388","-2.9404","-1.1401","0.8879","-5.6230","0.0000","2754.9905","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.5327","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4276","7.6327","0.0000","502.2336","0.0000","0.0000","25.8742","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9773","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9889","0.0000","0.0000","0.0000","13.6184","13.6184","8.8148","0.0000","0.0000","2.0000","0.0000","0.0000","2.3373","0.0000","0.0000","13.6184","0.0000","13.6184","0.0000","0.0000","1.4288","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1399","0.9772","83.1875","-0.6423","-0.1360","-0.2413","-2.9629","-0.7520","1.2686","-4.5234","0.0000","2831.3999","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.2596","0.0000","82.7500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4200","7.8200","0.0000","502.8269","0.0000","0.0000","25.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9840","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9903","0.0000","0.0000","0.0000","13.6000","13.6000","9.7407","0.0000","0.0000","2.0000","0.0000","0.0000","2.3424","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4190","0.0000","0.0000","0.0000","0.0000","0.0000"
