"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.1562","12.9360","0.9764","83.4375","-0.6068","-0.1741","-0.2161","-2.9785","0.6663","0.3560","0.5525","0.0000","2761.8799","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.5247","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4480","7.6000","0.0000","506.0000","0.0000","0.0000","24.8973","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9731","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9912","0.0000","0.0000","0.0000","13.6354","13.6354","20.5248","0.0000","0.0000","2.0000","0.0000","0.0000","2.3508","0.0000","0.0000","13.6354","0.0000","13.6354","0.0000","0.0000","1.4500","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9805","83.4375","-0.6558","-0.1740","-0.2085","-2.9746","0.5249","0.1157","0.5996","0.0000","2755.8799","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0396","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3480","7.6000","0.0000","506.0000","0.0000","0.0000","24.8727","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9741","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9917","0.0000","0.0000","0.0000","13.6859","13.6859","16.9010","0.0000","0.0000","2.0000","0.0000","0.0000","2.3523","0.0000","0.0000","13.6859","0.0000","13.6859","0.0000","0.0000","1.3500","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9609","83.4375","-0.5969","-0.1688","-0.1948","-2.9492","0.0306","0.3820","0.5522","0.0000","2755.3401","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.3030","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","7.6253","0.0000","505.0909","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9751","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9920","0.0000","0.0000","0.0000","13.7000","13.7000","12.4455","0.0000","0.0000","2.0000","0.0000","0.0000","2.3525","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9835","83.4375","-0.7332","-0.1813","-0.2053","-2.9453","0.0815","0.1731","0.3167","0.0000","2759.8401","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.3131","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","7.6758","0.0000","502.0606","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9761","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9920","0.0000","0.0000","0.0000","13.7000","13.7000","7.4545","0.0000","0.0000","2.0000","0.0000","0.0000","2.3515","0.0000","0.0000","13.7000","0.0000","13.7000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9827","83.4375","-0.5847","-0.1763","-0.1908","-2.9551","0.4171","-0.3016","0.1328","0.0000","2762.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.6800","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","7.6740","0.0000","500.9600","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9769","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9920","0.0000","0.0000","0.0000","13.6650","13.6650","2.4040","0.0000","0.0000","2.0000","0.0000","0.0000","2.3518","0.0000","0.0000","13.6650","0.0000","13.6650","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9677","83.4375","-0.6285","-0.1715","-0.1874","-2.9414","0.4143","-0.1203","-0.0534","0.0000","2762.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.6800","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","7.6240","0.0000","503.9600","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9754","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9920","0.0000","0.0000","0.0000","13.6150","13.6150","8.9000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3533","0.0000","0.0000","13.6150","0.0000","13.6150","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9955","83.4375","-0.6268","-0.1860","-0.1958","-2.9619","0.9175","0.3524","-0.3325","0.0000","2733.6599","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.1600","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3260","7.5220","0.0000","505.0400","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9739","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9918","0.0000","0.0000","0.0000","13.6000","13.6000","16.4000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3533","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3250","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9586","83.4375","-0.5932","-0.1812","-0.2081","-2.9473","1.5742","0.0283","-0.3694","0.0000","2679.1599","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.6600","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3760","7.3720","0.0000","502.0400","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9724","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9913","0.0000","0.0000","0.0000","13.6000","13.6000","11.4800","0.0000","0.0000","2.0000","0.0000","0.0000","2.3518","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3750","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9542","83.4375","-0.6325","-0.1639","-0.2064","-2.9229","1.3156","-0.4983","-0.2895","0.0000","2638.9805","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.6832","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3745","7.2745","0.0000","500.1584","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9711","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9907","0.0000","0.0000","0.0000","13.6000","13.6000","5.4800","0.0000","0.0000","2.0000","0.0000","0.0000","2.3500","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3752","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","12.9360","0.9164","83.4375","-0.6351","-0.1611","-0.1988","-2.9238","0.8502","-0.4527","-0.2262","0.0000","2612.0195","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.6931","0.0000","82.2500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3255","7.2255","0.0000","500.6535","0.0000","0.0000","24.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9897","0.0000","0.0000","0.0000","13.6000","13.6000","9.5098","0.0000","0.0000","2.0000","0.0000","0.0000","2.3480","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3257","0.0000","0.0000","0.0000","0.0000","0.0000"
