"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:24 PM"
"Sample Rate","20"
"Duration","229"
"Segment","Session"
"Beacon Markers","229"
"Segment Times","3:49.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1242","-0.2224","-2.9492","3.5078","2.4766","15.6953","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1211","-0.2252","-2.9551","3.6123","2.1865","15.6992","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1211","-0.2168","-2.9570","3.8008","1.8418","15.6562","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1351","-0.2116","-2.9580","3.9482","2.0830","15.3672","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1404","-0.2070","-2.9414","4.0195","2.1797","14.9453","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6226","-0.1428","-0.2060","-2.9229","3.5811","1.9678","14.5977","0.0000","2380.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.9000","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3080","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7163","90.0000","-0.6315","-0.1497","-0.1957","-2.9297","3.2969","1.9854","14.1719","0.0000","2388.3010","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","481.0000","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.8980","0.0000","493.0000","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9470","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9800","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3060","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.5549","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7175","90.0000","-0.6570","-0.1542","-0.2025","-2.9434","3.4395","1.6860","13.6836","0.0000","2397.5242","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.6373","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.5000","6.8480","0.0000","494.2647","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9467","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9787","0.0000","0.0000","0.0000","13.8000","13.8000","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3016","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.4569","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.3125","13.2240","0.7218","90.0000","-0.6113","-0.1525","-0.2032","-2.9414","3.7559","1.4385","13.1094","0.0000","2387.6924","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0294","0.0000","82.8500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.4596","6.7962","0.0000","495.7353","0.0000","0.0000","22.0500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9462","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9773","0.0000","0.0000","0.0000","13.7510","13.7510","1.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2974","0.0000","0.0000","13.7510","0.0000","13.7510","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
