"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:28 PM"
"Sample Rate","20"
"Duration","211"
"Segment","Session"
"Beacon Markers","211"
"Segment Times","3:31.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"35.3438","13.4000","0.8022","96.5000","-0.3845","-0.1993","-0.2131","-2.9688","2.0410","1.1982","10.5234","0.0000","2762.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.4000","7.4000","0.0000","505.0000","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9960","0.0000","0.0000","0.0000","13.6000","13.6000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3720","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.8022","96.5000","-0.3845","-0.1556","-0.1778","-2.9004","2.5947","0.9995","10.2812","0.0000","2762.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.4000","7.4000","0.0000","505.0000","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9960","0.0000","0.0000","0.0000","13.6000","13.6000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3720","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.8022","96.5000","-0.3845","-0.1763","-0.1923","-2.9336","1.9238","1.9170","9.8750","0.0000","2762.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.4000","7.4000","0.0000","505.0000","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9960","0.0000","0.0000","0.0000","13.6000","13.6000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3720","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.8022","96.5000","-0.3845","-0.1823","-0.2075","-2.9658","1.4810","1.5342","9.6641","0.0000","2753.4707","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0000","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3716","7.4000","0.0000","505.0000","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9960","0.0000","0.0000","0.0000","13.6000","13.6000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.3712","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3922","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.7975","96.5000","-0.4469","-0.1898","-0.1899","-2.9453","2.2500","1.1152","9.3750","0.0000","2738.7646","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","496.1485","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3225","7.3243","0.0000","504.4258","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9504","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9951","0.0000","0.0000","0.0000","13.6000","13.6000","15.0495","0.0000","0.0000","2.0000","0.0000","0.0000","2.3664","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3437","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.7780","96.5000","-0.3897","-0.1661","-0.1802","-2.9209","2.5752","1.1851","9.1484","0.0000","2692.8501","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","498.1287","0.0000","88.1500","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3000","7.2272","0.0000","503.4356","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9544","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9937","0.0000","0.0000","0.0000","13.6000","13.6000","9.1089","0.0000","0.0000","2.0000","0.0000","0.0000","2.3614","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.7753","96.5000","-0.4067","-0.1694","-0.1960","-2.9531","1.9834","1.4854","8.8516","0.0000","2620.3501","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.5333","0.0000","88.1654","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3000","7.2000","0.0000","501.4000","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9586","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9917","0.0000","0.0000","0.0000","13.6000","13.6000","4.5385","0.0000","0.0000","2.0000","0.0000","0.0000","2.3555","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.7551","96.5000","-0.3078","-0.1848","-0.1988","-2.9785","2.0073","1.6455","8.5430","0.0000","2582.4150","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.3429","0.0000","88.2135","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3255","7.2000","0.0000","498.5428","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9634","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9893","0.0000","0.0000","0.0000","13.6000","13.6000","8.3846","0.0000","0.0000","2.0000","0.0000","0.0000","2.3493","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.2962","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.3438","13.4000","0.7418","96.5000","-0.0528","-0.1697","-0.1960","-2.9365","2.3350","1.4468","8.5078","0.0000","2573.9246","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.1058","0.0000","88.2616","0.0000","0.0000","0.0000","0.0000","13.2000","0.0000","0.0000","1.3726","7.1029","0.0000","497.4423","0.0000","0.0000","21.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9665","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9871","0.0000","0.0000","0.0000","13.6000","13.6000","11.7981","0.0000","0.0000","2.0000","0.0000","0.0000","2.3408","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.2491","0.0000","0.0000","0.0000","0.0000","0.0000"
