"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:16 PM"
"Sample Rate","20"
"Duration","11"
"Segment","Session"
"Beacon Markers","11"
"Segment Times","0:11.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.1189","-0.2153","-2.9648","-0.0531","0.0327","-1.2988","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.0799","-0.1758","-2.9404","-0.0579","0.1605","-1.3047","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.0979","-0.1512","-2.9414","-0.0111","0.1627","-1.2725","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.1422","-0.1774","-2.9697","0.1609","0.2280","-1.2124","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.1331","-0.2100","-2.9727","0.2922","0.2886","-1.0957","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1357","83.1875","-0.5757","-0.0890","-0.1963","-2.9365","0.2853","0.1799","-0.9668","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1380","83.1875","-0.6480","-0.0761","-0.1609","-2.9199","0.1819","0.2175","-0.8315","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1431","83.1875","-0.7952","-0.1129","-0.1540","-2.9453","0.1602","0.3044","-0.6816","0.0000","3086.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.0000","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3000","8.1000","0.0000","504.0000","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9490","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5000","13.5000","5.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4380","0.0000","0.0000","13.5000","0.0000","13.5000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1600","1.1296","83.1875","-0.8203","-0.1526","-0.1787","-2.9630","0.3248","0.1573","-0.6099","0.0000","3092.2307","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.2692","0.0000","82.4500","0.0000","0.0000","0.0000","0.0000","13.0000","0.0000","0.0000","1.3231","8.1231","0.0000","504.9808","0.0000","0.0000","26.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.9462","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.5317","13.5317","7.1538","0.0000","0.0000","2.0000","0.0000","0.0000","2.4369","0.0000","0.0000","13.5317","0.0000","13.5317","0.0000","0.0000","1.3221","0.0000","0.0000","0.0000","0.0000","0.0000"
