"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:40 PM"
"Sample Rate","20"
"Duration","10"
"Segment","Session"
"Beacon Markers","10"
"Segment Times","0:10.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"35.9375","10.7520","1.1240","84.6875","-0.6182","-0.1447","-0.2206","-2.9785","0.5337","0.9766","2.0039","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9000","0.0000","506.0000","0.0000","0.0000","20.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","4.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4030","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1240","84.6875","-0.6182","-0.1771","-0.2053","-3.0234","0.6431","0.3527","2.4814","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9000","0.0000","506.0000","0.0000","0.0000","20.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","4.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4030","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1240","84.6875","-0.6182","-0.1621","-0.1722","-3.0000","0.7744","0.6797","2.8320","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9000","0.0000","506.0000","0.0000","0.0000","20.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","4.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4030","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1240","84.6875","-0.6182","-0.1472","-0.1902","-3.0195","0.5972","0.7886","3.0527","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9000","0.0000","506.0000","0.0000","0.0000","20.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","4.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4030","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1393","84.6875","-0.5102","-0.0972","-0.1810","-2.9609","1.2158","-0.0861","3.1406","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9000","0.0000","506.0000","0.0000","0.0000","20.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","4.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.4030","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1664","84.6875","-0.5585","-0.1056","-0.1649","-2.9502","1.5522","-0.1841","3.1387","0.0000","3267.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.1212","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9270","0.0000","505.7576","0.0000","0.0000","20.8270","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9830","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","8.8100","0.0000","0.0000","2.0000","0.0000","0.0000","2.4072","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1783","84.6875","-0.4951","-0.1041","-0.1703","-2.9629","1.4980","0.5078","3.0312","0.0000","3291.6667","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","494.1313","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9770","0.0000","503.7374","0.0000","0.0000","20.8020","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9821","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","15.3100","0.0000","0.0000","2.0000","0.0000","0.0000","2.4152","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1863","84.6875","-0.4940","-0.1171","-0.1766","-2.9697","1.5703","0.1954","3.0596","0.0000","3325.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.0700","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4000","8.9730","0.0000","501.9300","0.0000","0.0000","20.7770","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9811","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","12.8889","0.0000","0.0000","2.0000","0.0000","0.0000","2.4216","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.9375","10.7520","1.1902","84.6875","-0.4824","-0.0772","-0.1652","-2.9180","1.0527","0.3357","3.1836","0.0000","3314.9407","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.5700","0.0000","78.8500","0.0000","0.0000","0.0000","0.0000","13.1000","0.0000","0.0000","1.4376","8.9230","0.0000","501.4300","0.0000","0.0000","20.7520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9829","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","13.6000","13.6000","7.3333","0.0000","0.0000","2.0000","0.0000","0.0000","2.4266","0.0000","0.0000","13.6000","0.0000","13.6000","0.0000","0.0000","1.4000","0.0000","0.0000","0.0000","0.0000","0.0000"
