recording_id,split,first_channel,second_channel,lag_samples,correlation,overlap_samples
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,RollRate,YawRate,5.0,0.5903026172962842,515.0
5790cd1534b1de5ac4693367fe5d8ca6951cd36a7abcd3c778cee8923a932a75,train,PitchRate,YawRate,2.0,0.3186530719245464,518.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,LateralAcc,0.0,0.6285311806868645,1800.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,RollRate,30.0,0.1932737258221755,1770.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,PitchRate,11.0,0.16112380082320465,1789.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,InlineAcc,YawRate,17.0,0.1913431850937074,1783.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,RollRate,61.0,-0.19875044149443005,1739.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,PitchRate,43.0,-0.19466871422837073,1757.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,LateralAcc,YawRate,49.0,-0.23278158190682618,1751.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,RollRate,PitchRate,-22.0,0.46400801611100934,1778.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,RollRate,YawRate,2.0,0.7764806763956492,1798.0
5c12d7b5eff374be805bae6c5e2906f6c02b6bc3ad6ba70d3674bafd4f16fc15,train,PitchRate,YawRate,3.0,0.5750309688731433,1797.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,InlineAcc,LateralAcc,0.0,0.8280808947643493,680.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,InlineAcc,RollRate,-30.0,-0.3806267970406816,650.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,InlineAcc,PitchRate,-43.0,-0.34018970405371013,637.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,InlineAcc,YawRate,-44.0,-0.381029889456452,636.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,LateralAcc,RollRate,-5.0,-0.2953072021509237,675.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,LateralAcc,PitchRate,52.0,0.23782296053156737,628.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,LateralAcc,YawRate,44.0,0.2602617767233603,636.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,RollRate,PitchRate,2.0,0.7550526922274977,678.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,RollRate,YawRate,1.0,0.9505576143137401,679.0
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,PitchRate,YawRate,-4.0,0.7998722370089836,676.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,InlineAcc,LateralAcc,0.0,0.890376683822733,440.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,InlineAcc,RollRate,-70.0,-0.28498875245625316,370.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,InlineAcc,PitchRate,-29.0,-0.2659665566860896,411.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,InlineAcc,YawRate,-39.0,-0.42247066050672716,401.0
6732a35a8f6343dcf041f1a3ad40d6760331513a2556c4fae4eea6cd59da89b2,train,LateralAcc,RollRate,-32.0,-0.33629911420754666,408.0
