recording_id,split,control_candidate,rank,channels,lag_samples,lag_s,correlation,prominence,cycle_count,review_candidate
5c8af6b8a89a449144e0ddf74414040b433d630e1fd3d3ddc138ec3c4284d97b,train,True,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,16.15,-0.02755180483302576,,2.102167182662539,False
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,False,1,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,45.15,0.23296055111147437,,2.3909191583610188,False
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,False,2,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,47.0,0.22006370136608036,,2.296808510638298,False
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,False,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,49.7,0.1941711434393107,,2.1720321931589535,False
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,False,4,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,31.4,0.16111221830559672,,3.437898089171975,False
8f799d59c9b5348ece1e5671692ea783d6d5e450ccebe31b6db9ad4f9510f8c5,train,False,5,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,31.75,0.15276158727131503,,3.4,False
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,False,1,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,59.15,0.11888548614098807,,7.725274725274725,False
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,False,2,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,56.75,0.08252925914248647,,8.051982378854625,False
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,False,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,44.8,0.07960902255547044,,10.199776785714286,False
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,False,4,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,32.7,0.07857772290797248,,13.97400611620795,False
9116cbf4be063f5be851f65778ddfb91d60bdd5aa52e7211426769a6b2ce6f86,train,False,5,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,42.8,0.07306046545555889,,10.676401869158878,False
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,False,1,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,46.0,0.19603601797600118,,2.6945652173913044,False
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,False,2,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,34.0,0.18530863953164362,,3.6455882352941176,False
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,False,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,48.1,0.16188372178806845,,2.576923076923077,False
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,False,4,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,21.95,0.15361099354610766,,5.646924829157176,False
b185f43818b8ff3aba325752922bbbf37fd094f1e282887487651e0a5c8f6c7a,validation,False,5,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,24.35,0.1460532793480439,,5.090349075975359,False
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,False,1,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,15.05,0.18905112821742734,,16.076411960132887,False
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,False,2,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,23.9,0.17471994172194416,,10.123430962343097,False
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,False,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,36.1,0.14809839578392006,,6.702216066481994,False
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,False,4,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,26.1,0.14295009877951861,,9.270114942528735,False
bace0e92b25324e8afbd0e5f6698b01a921780a2385e02419965fa97e3e796c4,test,False,5,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,49.3,0.13802388755374412,,4.907707910750507,False
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,True,1,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,27.45,0.2539378968601799,,6.40983606557377,True
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,True,2,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,26.35,0.23950975836573385,,6.677419354838709,False
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,True,3,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,32.65,0.22754714492719358,,5.388973966309341,False
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,True,4,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,28.45,0.22502634408030514,,6.184534270650263,False
dc8bf44eb4cc0becf1c5ebe252a515c98193744c2031498501de80e036899758,test,True,5,"[""InlineAcc"", ""LateralAcc"", ""RollRate"", ""PitchRate"", ""YawRate""]",,31.1,0.22195143272723444,,5.657556270096462,False
