"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:00 PM"
"Sample Rate","20"
"Duration","108"
"Segment","Session"
"Beacon Markers","108"
"Segment Times","1:48.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.2126","-0.1730","-2.9766","0.5029","0.2260","0.1797","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.1980","-0.1613","-2.9551","0.4608","0.2478","0.1735","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.1703","-0.1630","-2.9473","0.4695","0.2500","0.1774","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.1661","-0.1662","-2.9463","0.4979","0.2372","0.0450","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.1725","-0.1532","-2.9453","0.5289","0.2528","0.0213","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5605","-0.2716","-0.2119","-2.9813","0.5634","-0.1680","0.2435","0.0000","8896.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","28.0000","30.3000","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","32.8000","32.8000","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5860","0.0000","0.0000","32.8000","0.0000","32.8000","0.0000","0.0000","28.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","4.0156","60.6562","-0.5342","-0.5811","-0.4758","-2.9167","2.2543","-2.5708","0.3292","0.0000","8246.7881","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","491.0000","0.0000","64.4500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","33.4365","30.0375","0.0000","511.0000","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9440","0.0000","0.0000","0.0000","29.6404","29.6404","21.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5096","0.0000","0.0000","29.6404","0.0000","29.6404","0.0000","0.0000","33.1400","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","3.9477","60.6562","-0.4685","-0.6808","-0.4953","-2.7269","1.9777","-2.6351","0.3849","0.0000","6771.3076","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.6602","0.0000","64.4260","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","45.7923","29.4125","0.0000","510.5243","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9422","0.0000","0.0000","0.0000","24.5442","24.5442","15.6667","0.0000","0.0000","2.0000","0.0000","0.0000","2.3277","0.0000","0.0000","24.5442","0.0000","24.5442","0.0000","0.0000","45.3781","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.9375","13.2480","3.6232","60.6562","-0.5595","-0.6168","-0.4689","-2.7356","0.6148","0.1632","0.0757","0.0000","5754.3008","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.2330","0.0000","64.4015","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","57.8767","29.3000","0.0000","507.1262","0.0000","0.0000","23.1500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8148","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9296","0.0000","0.0000","0.0000","21.4398","21.4398","9.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.1772","0.0000","0.0000","21.4398","0.0000","21.4398","0.0000","0.0000","57.4490","0.0000","0.0000","0.0000","0.0000","0.0000"
