"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","2:38 PM"
"Sample Rate","20"
"Duration","124"
"Segment","Session"
"Beacon Markers","124"
"Segment Times","2:04.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.2131","-0.1799","-2.9473","0.7695","0.3552","0.1108","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.1795","-0.1490","-2.9316","0.8062","0.3818","0.1099","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.1792","-0.1570","-2.9434","0.6855","0.5259","0.1105","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.1779","-0.1550","-2.9590","0.7703","0.3748","0.0763","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.1739","-0.1431","-2.9390","0.8267","0.3340","0.0518","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4453","59.5312","2.6270","-0.1799","-0.1478","-2.9310","0.7806","0.4514","0.0384","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0000","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.9000","0.0000","505.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9530","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5120","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.4383","59.5312","2.5508","-0.1841","-0.1523","-2.9515","0.6886","0.5285","0.0436","0.0000","4401.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.7624","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0000","13.6873","0.0000","505.1188","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.1180","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9545","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5131","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.5294","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.3434","59.5312","2.5012","-0.1866","-0.1473","-2.9599","0.7163","0.3747","0.0135","0.0000","4333.8711","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.7822","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","3.0149","12.1676","0.0000","506.1089","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0066","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9673","0.0000","0.0000","0.0000","15.0000","15.0000","16.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.5219","0.0000","0.0000","15.0000","0.0000","15.0000","0.0000","0.0000","2.7745","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.0625","13.2400","2.2070","59.5312","2.4645","-0.1678","-0.1284","-2.9538","0.7438","0.3072","0.0728","0.0000","4110.1089","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","484.2913","0.0000","70.5500","0.0000","0.0000","0.0000","0.0000","12.9231","0.0000","0.0000","3.0644","10.7369","0.0000","507.0000","0.0000","0.0000","23.2500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.8855","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9798","0.0000","0.0000","0.0000","14.8040","14.8040","14.6275","0.0000","0.0000","2.0000","0.0000","0.0000","2.5291","0.0000","0.0000","14.8040","0.0000","14.8040","0.0000","0.0000","3.0039","0.0000","0.0000","0.0000","0.0000","0.0000"
