"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:20 PM"
"Sample Rate","20"
"Duration","242"
"Segment","Session"
"Beacon Markers","242"
"Segment Times","4:02.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.7500","12.7280","0.0226","68.0000","7.1250","-0.1794","-0.1458","-2.9473","0.4165","0.2235","0.0428","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0000","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","498.0000","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0226","68.0000","7.1250","-0.1788","-0.1447","-2.9502","0.4414","0.2363","0.0581","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0000","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","498.0000","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0226","68.0000","7.1250","-0.1801","-0.1458","-2.9492","0.4714","0.2385","0.0836","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0000","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","498.0000","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0226","68.0000","7.1250","-0.1797","-0.1461","-2.9473","0.4513","0.2521","0.0477","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0000","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","498.0000","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0226","68.0000","7.1250","-0.1780","-0.1449","-2.9512","0.4536","0.2612","0.0235","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","490.0000","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","498.0000","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0226","68.0000","7.1372","-0.1787","-0.1461","-2.9502","0.5056","0.2282","0.0386","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","489.9615","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","497.9904","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2520","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.6000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0221","68.0000","7.1403","-0.1803","-0.1471","-2.9473","0.4829","0.2301","0.0281","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","488.0385","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5000","0.0000","0.0000","497.5096","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2524","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.5822","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0207","68.0000","7.1450","-0.1785","-0.1448","-2.9492","0.4321","0.2396","0.0153","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.1154","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5280","0.0000","0.0000","497.0288","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2529","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0050","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.5355","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.7500","12.7280","0.0209","68.0000","7.1441","-0.1782","-0.1465","-2.9512","0.4280","0.2112","0.0337","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.8868","0.0000","90.4500","0.0000","0.0000","0.0000","0.0000","12.6000","0.0000","0.0000","1.5748","0.0000","0.0000","496.5566","0.0000","0.0000","28.1500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.2530","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.5000","14.5000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0049","0.0000","0.0000","14.5000","0.0000","14.5000","0.0000","0.0000","1.4885","0.0000","0.0000","0.0000","0.0000","0.0000"
