"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:41 PM"
"Sample Rate","20"
"Duration","22"
"Segment","Session"
"Beacon Markers","22"
"Segment Times","0:22.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1769","-0.2070","-2.9336","0.0908","0.0086","-2.7949","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1769","-0.2070","-2.9336","0.0908","0.0086","-2.7891","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1769","-0.2070","-2.9336","0.0908","0.0086","-2.9785","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1769","-0.2070","-2.9336","0.0908","0.0086","-2.9238","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1769","-0.2070","-2.9336","0.0908","0.0086","-2.8633","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0029","61.2188","-0.5498","-0.1664","-0.2106","-2.9229","-0.1176","-0.0044","-3.0811","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0034","61.2188","-0.5475","-0.1686","-0.2163","-2.9316","-0.3340","-0.0861","-2.9609","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","1.0134","61.2188","-0.4911","-0.1735","-0.2101","-2.9404","-0.3929","-0.0947","-2.7930","0.0000","2374.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.0000","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","508.0000","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0970","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9760","0.0000","0.0000","0.0000","13.8000","13.8000","6.0000","0.0000","0.0000","2.0000","0.0000","0.0000","2.2880","0.0000","0.0000","13.8000","0.0000","13.8000","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"38.1562","13.1040","0.9840","61.2186","-0.4718","-0.1702","-0.2141","-2.9453","-0.5835","-0.0765","-2.9062","0.0000","2384.2971","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.0577","0.0000","71.5500","0.0000","0.0000","0.0000","0.0000","12.9000","0.0000","0.0000","1.7000","7.0000","0.0000","504.2308","0.0000","0.0000","22.7500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.0952","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9755","0.0000","0.0000","0.0000","13.7745","13.7745","5.4706","0.0000","0.0000","2.0000","0.0000","0.0000","2.2870","0.0000","0.0000","13.7745","0.0000","13.7745","0.0000","0.0000","1.7000","0.0000","0.0000","0.0000","0.0000","0.0000"
