"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"35.1562","10.8880","0.1188","60.8750","1.6745","-0.1222","-0.1971","-2.9609","0.8003","0.3975","0.0555","0.0000","543.1714","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","493.2308","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.7127","0.0000","0.0000","34.4314","2.4400","0.0000","502.0385","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.5010","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9047","0.0000","0.0000","0.0000","15.3913","15.3913","5.0583","0.0000","0.0000","2.0000","0.0000","0.0000","2.0089","0.0000","0.0000","15.3913","0.0000","15.3913","0.0000","0.0000","34.0272","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1189","60.8750","1.7025","-0.1128","-0.1927","-2.9473","0.8206","0.3911","0.1020","0.0000","479.3400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.8614","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.7356","0.0000","0.0000","35.2000","2.1168","0.0000","500.3069","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.0644","0.0000","0.0000","0.0000","0.0000","2.3778","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","15.0515","15.0515","2.7404","0.0000","0.0000","1.0962","0.0000","0.0000","2.0093","0.0000","0.0000","15.0515","0.0000","15.0515","0.0000","0.0000","35.9385","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1269","60.8750","1.6658","-0.1110","-0.1953","-2.9473","0.7563","0.4780","0.1636","0.0000","444.8400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","495.3663","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.7837","0.0000","0.0000","37.7000","1.8198","0.0000","497.8317","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.3119","0.0000","0.0000","0.0000","0.0000","2.2124","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9040","0.0000","0.0000","0.0000","14.7870","14.7870","0.3365","0.0000","0.0000","0.1346","0.0000","0.0000","2.0083","0.0000","0.0000","14.7870","0.0000","14.7870","0.0000","0.0000","38.6308","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.8880","0.1203","60.8750","1.6851","-0.1265","-0.1998","-2.9629","0.7351","0.4269","0.1288","0.0000","411.1650","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","494.4902","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8327","0.0000","0.0000","39.0243","1.6127","0.0000","496.1274","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.5594","0.0000","0.0000","0.0000","0.0000","2.0463","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9044","0.0000","0.0000","0.0000","14.7370","14.7370","4.3434","0.0000","0.0000","0.8687","0.0000","0.0000","2.0054","0.0000","0.0000","14.7370","0.0000","14.7370","0.0000","0.0000","39.4720","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","10.9361","0.1198","60.8750","1.6808","-0.1261","-0.2001","-2.9482","0.7629","0.3722","0.0664","0.0000","379.6117","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.5294","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8822","0.0000","0.0000","37.3252","1.6618","0.0000","496.6176","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","0.8069","0.0000","0.0000","0.0000","0.0000","1.8682","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9058","0.0000","0.0000","0.0000","15.3562","15.3562","9.3939","0.0000","0.0000","1.8788","0.0000","0.0000","2.0014","0.0000","0.0000","15.3562","0.0000","15.3562","0.0000","0.0000","39.2720","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","11.0287","0.2174","60.8750","1.7544","-0.1315","-0.1997","-2.9512","0.7661","0.4453","0.1080","0.0000","363.8431","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","492.7255","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8689","0.0000","0.0000","32.2902","1.6892","0.0000","497.6471","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.6900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9074","0.0000","0.0000","0.0000","17.8800","17.8800","5.8095","0.0000","0.0000","1.1619","0.0000","0.0000","2.0065","0.0000","0.0000","17.8800","0.0000","17.8800","0.0000","0.0000","28.4308","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","11.1213","0.1740","60.8750","1.7204","-0.1298","-0.2026","-2.9580","0.8120","0.3986","0.1001","0.0000","404.0392","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","500.5686","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8204","0.0000","0.0000","15.4275","1.6402","0.0000","500.5882","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.6150","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9094","0.0000","0.0000","0.0000","19.5608","19.5608","1.0476","0.0000","0.0000","0.2095","0.0000","0.0000","2.0166","0.0000","0.0000","19.5608","0.0000","19.5608","0.0000","0.0000","11.6038","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","11.2139","0.1505","60.8750","1.7082","-0.1376","-0.2043","-2.9512","0.8110","0.4121","0.1263","0.0000","592.8558","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","505.9615","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8276","0.0000","0.0000","1.6173","2.1452","0.0000","502.7404","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.5400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9131","0.0000","0.0000","0.0000","16.8157","16.8157","0.0000","0.0000","0.0000","0.7500","0.0000","0.0000","2.0350","0.0000","0.0000","16.8157","0.0000","16.8157","0.0000","0.0000","3.5000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","11.3064","0.2817","60.8750","1.6228","-0.1375","-0.2108","-2.9502","0.7598","0.4135","0.1078","0.0000","1458.7212","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","500.1923","0.0000","87.1500","0.0000","0.0000","0.0000","0.0000","10.8752","0.0000","0.0000","1.7135","5.1740","0.0000","501.2981","0.0000","0.0000","23.8500","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.4842","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9245","0.0000","0.0000","0.0000","14.4660","14.4660","0.0000","0.0000","0.0000","1.7115","0.0000","0.0000","2.0600","0.0000","0.0000","14.4660","0.0000","14.4660","0.0000","0.0000","2.2500","0.0000","0.0000","0.0000","0.0000","0.0000"
,"35.1562","11.3990","0.5435","60.8750","1.6345","-0.1065","-0.1818","-2.9473","0.7188","0.4141","0.1088","0.0000","2318.7427","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","494.7030","0.0000","87.1281","0.0000","0.0000","0.0000","0.0000","11.0440","0.0000","0.0000","3.0624","8.5733","0.0000","500.1485","0.0000","0.0000","23.8281","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","1.4292","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9351","0.0000","0.0000","0.0000","15.0160","15.0160","3.5000","0.0000","0.0000","2.0000","0.0000","0.0000","2.0932","0.0000","0.0000","15.0160","0.0000","15.0160","0.0000","0.0000","7.1200","0.0000","0.0000","0.0000","0.0000","0.0000"
