"Format","AiM CSV File"
"Session","NO GPS"
"Vehicle","22"
"Racer","Everyone"
"Championship","UTA Autocross 23"
"Comment",""
"Date","Saturday, October 7, 2023"
"Time","3:13 PM"
"Sample Rate","20"
"Duration","176"
"Segment","Session"
"Beacon Markers","176"
"Segment Times","2:56.000"

"Time","Logger Temperature","External Voltage","Oil Pressure","Oil Temp","Rear Brake","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","PreCalcGear","ECU RPM","ECU Gear 2","ECU VehSpeed","ECU Gear","ECU WheelSpdFL","ECU WheelSpdFR","ECU WheelSpdRL","ECU WheelSpdRR","ECU EngLimitAct","ECU GenericSen2","ECU GenericSen7","ECU CoolantTemp","ECU FuelTrimSTB1","ECU FuelTrimSTB2","ECU TorqCIgnCorr dup 1","ECU GenericSen8","ECU BatteryVolt","ECU GenericSen9","ECU GenericSen10","ECU ThrottlePos","ECU InjDT1","ECU GenericSen3","ECU GenericSen1","ECU InjDT2","ECU GenOut1DT","ECU AirTemp","ECU FuelTrimLTB1","ECU GearSwitch","ECU DecelCutActi","ECU TPSAct","ECU BrakePedSw","ECU GenericSen4","ECU GenericSen5","ECU FuelTrimLTB2","ECU Lambda1","ECU WheelSlip","ECU WheelDiff","ECU ClutchSw","ECU FlatShSw","ECU AuxRPMLimSw","ECU BatteryLtSw","ECU GenericSen6","ECU KnockLev1","ECU KnockLev2","ECU TargLambda","Av3E9 7","ECU InjectionDT3 dup 1","ECU InjectionDT4 dup 1","ECU IgnitionAng1 dup 1","ECU IgnitionAng2 dup 1","ECU TrigCount","ECU CheckEngLtSw","ECU Laun Ctr Sw","ECU TrigSyncLev","ECU TorqDrvsRPMT","ECU TorqDrvsRPME","ECU Inj Pres D","ECU TorDrRPMEI","ECU TorDrRPMIC","ECU IgnitionAng1 dup 2","ECU TorqCIgnCorr dup 2","ECU IgnitionAng2 dup 2","ECU InjectionDT3 dup 2","ECU InjectionDT4 dup 2","ECU Acc Ped Pos","ECU RaceTimer","ECU Cru Last T S","ECU Cruise Trg S","ECU Crui Spd Err","ECU Cruise Ctr S"
"s","C","V","bar","C","bar","g","g","g","deg/s","deg/s","deg/s","#","rpm","gear","km/h","gear","km/h","km/h","km/h","km/h","#","#","#","C","%","%","deg","#","V","#","#","%","%","#","#","%","%","C","%","#","#","#","#","#","#","%","lambda","km/h","km/h","#","#","#","#","#","#","#","#","#","%","%","deg","deg","#","#","#","#","deg/s","deg/s","bar","deg","deg","deg","deg","deg","%","%","%","ms","km/h","km/h","km/h","#"

,"37.4688","12.5680","0.0134","66.5625","-0.6040","-0.1744","-0.1528","-2.9473","0.4812","0.2751","0.0552","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.0000","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","507.0000","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0134","66.5625","-0.6040","-0.1762","-0.1532","-2.9473","0.4766","0.3191","0.0601","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.0000","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","507.0000","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0134","66.5625","-0.6040","-0.1814","-0.1595","-2.9473","0.5078","0.3479","0.0584","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.0000","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","507.0000","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0134","66.5625","-0.6040","-0.1848","-0.1609","-2.9492","0.4982","0.3162","0.0330","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.0000","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","507.0000","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0134","66.5625","-0.6040","-0.1783","-0.1553","-2.9453","0.4714","0.3010","0.0268","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","486.0000","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","507.0000","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0134","66.5625","-0.5853","-0.1777","-0.1584","-2.9492","0.4380","0.3384","0.0373","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.9712","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4000","0.0000","0.0000","1.3000","0.0000","0.0000","506.8558","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0157","66.5625","-0.5431","-0.1805","-0.1595","-2.9512","0.4277","0.2683","0.0680","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.4904","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4219","0.0000","0.0000","1.3000","0.0000","0.0000","504.4519","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0148","66.5625","-0.5767","-0.1785","-0.1572","-2.9453","0.4584","0.2435","0.0811","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","485.0096","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4695","0.0000","0.0000","1.3000","0.0000","0.0000","502.0481","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.3000","14.3000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.3000","0.0000","14.3000","0.0000","0.0000","1.3000","0.0000","0.0000","0.0000","0.0000","0.0000"
,"37.4688","12.5680","0.0164","66.5625","-0.6155","-0.1822","-0.1588","-2.9512","0.4451","0.2818","0.0624","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","487.8544","0.0000","98.2500","0.0000","0.0000","0.0000","0.0000","12.4825","0.0000","0.0000","1.2621","0.0000","0.0000","504.8544","0.0000","0.0000","26.7500","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.9496","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9050","0.0000","0.0000","0.0000","14.2738","14.2738","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.0040","0.0000","0.0000","14.2738","0.0000","14.2738","0.0000","0.0000","1.2631","0.0000","0.0000","0.0000","0.0000","0.0000"
