Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
21:27:33.025,0,-0.6,324,0,0,0,43,42,0,0,1,54,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0,13.559,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.125,0,-0.3,324,0,0,0,43,42,0,0,1,52,47,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0,13.504,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.225,0,-0.6,325,0,0,0,43,42,0,0,1,54,49,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.504,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.325,0,-0.5,324,0,0,0,43,42,0,0,1,52,49,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.511,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.425,0,-0.6,325,0,0,0,43,42,0,0,1,52,49,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.531,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.525,0,-0.5,326,0,0,0,43,42,0,0,1,51,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.497,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.625,0,-0.4,325,0,0,0,43,42,0,0,1,51,47,8,0,0,0,0,0,0,0,0,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.518,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.725,0,-0.5,324,0,0,0,43,42,0,0,1,51,47,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.531,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.825,0,-0.4,323,0,0,0,43,42,0,0,1,51,47,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,38,37,38,-851583,8,4.863,0.015,13.524,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:33.925,0,-0.5,324,0,0,0,43,42,0,0,1,52,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.552,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.025,0,-0.3,325,0,0,0,43,42,0,0,1,50,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.531,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.125,0,-0.3,325,0,0,0,43,42,0,0,1,51,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.531,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.225,0,-0.6,323,0,0,0,43,42,0,0,1,51,48,7,0,0,0,0,0,0,0,0,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.531,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.325,0.7,4.4,323,6.6,0.3,0,43,42,0,0,1,51,47,7,0,0,0,0,0,0,0,0.2,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.524,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.425,18.9,7,323,74.5,4.4,0,43,42,0,0,1,52,49,7,0,0,0,0,0,0,0,1.7,12,190,1,38,38,18,37,18,38,38,37,38,-851583,8,4.863,0.015,13.511,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.525,5.5,6.6,322,105.8,5.9,0,43,42,0,0,1,51,48,7,0,0,0,0,0,0,0,2.3,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.483,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.625,0.8,7.2,322,107.6,6.3,0,43,42,0,0,1,51,48,7,0,0,0,0,0,0,0,2.5,12,190,1,38,38,18,37,18,38,38,37,38,-851583,8,4.863,0.015,13.477,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.725,1.4,7.5,322,106.9,6.7,0,43,42,0,0,1,50,48,7,0,0,0,0,0,0,0,2.7,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.456,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.825,25.3,8.4,323,95.8,6.8,0,43,42,0,0,1,51,47,7,0,0,0,0,0,0,0,3.4,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.47,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:34.925,56.2,8.5,322,115.5,8.1,0,43,42,0,0,1,50,47,7,0,0,0,0,0,0,0,4.1,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.511,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.025,93.7,9.7,320,128.6,10.4,0,43,42,0,0,1,50,47,7,0,0,0,0,0,0,0,6.5,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.518,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.125,135.1,10.7,322,150.4,12.7,0,43,42,0,0,1,52,47,7,0,0,0,0,0,0,0,7.6,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.463,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.225,179,12.1,320,150,14.8,0,43,41.9,0,0,1,51,47,7,0,0,0,0,0,0,0,8.6,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.504,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.325,229.2,13.7,320,174.9,19,0,43,41.9,0,0,1,51,48,7,0,0,0,0,0,0,0,12.8,12,190,1,38,38,18,37,18,38,38,37,38,-851583,8,4.863,0.015,13.497,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.425,283.4,14.5,319,182.4,22.1,0,43,41.9,0,0,1,51,48,7,0,0,0,0,0,0,0,15.5,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.477,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.525,344.5,16.8,319,209.5,25.1,0,43,41.9,0,0,1,51,48,7,0,0,0,0,0,0,0,19.5,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.497,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.625,406.5,17.7,317,197.9,27.8,0,43.9,41.9,0,0,1,50,47,7,0,0,0,0,0,0,0,18.7,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.483,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.725,467,19,317,201.8,29.3,0,43.9,41.9,0,0,1,51,48,7,0,0,0,0,0,0,0,21.4,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.477,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.825,533.8,20.7,317,214.9,31.2,0,43.9,41.8,0,0,1,51,47,7,0,0,0,0,0,0,0,25.1,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.49,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:35.925,594.2,22.8,315,224,38.1,0,43.9,41.9,0,0,1,51,48,7,0,0,0,0,0,0,0,27.5,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.442,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:36.025,667.1,25.5,315,228.2,41.4,0,43.9,41.8,0,0,1,51,47,7,0,0,0,0,0,0,0,35,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.49,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:36.125,737.3,26.3,312,244,39.8,0,43.9,41.9,0,0,1,51,47,7,0,0,0,0,0,0,0,37.1,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.442,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:36.225,803.7,28.7,311,246,50.4,0,43.9,41.9,0,0,1,50,47,7,0,0,0,0,0,0,0,39.7,12,190,1,38,38,18,38,18,38,37,37,38,-851583,8,4.863,0.015,13.477,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:36.325,876.7,31,311,261.5,48.9,0,43.9,41.9,0,0,1,50,47,8,0,0,0,0,0,0,0,45.5,12,190,1,38,38,18,38,18,38,38,37,38,-851583,8,4.863,0.015,13.477,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
21:27:36.425,945.8,32.7,309,259.2,50.5,0,43.9,41.8,0,0,1,50,47,7,0,0,0,0,0,0,0,45.5,12,190,1,38,38,18,37,18,38,37,37,38,-851583,8,4.863,0.015,13.456,39,0,32,0,0,35,1,1,0,0,0,1,0,0,0
