Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],ACC Long [g],ACC Lat [g],ACC Vert [g],Pitch Rate [deg/sec],Roll Rate [deg/sec],Yaw Rate [deg/sec],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
17:55:32.925,0,1.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.025,0,-1.6,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.125,0,-2.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.225,0,-0.5,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.325,0,-4.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.425,0,-0.8,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.525,0,-1.2,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.625,0,-1.8,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.725,0,3,1,0,0,0,25,23,2,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.825,0,-2,1,0,0,0,25,23,2,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:33.925,0,-2.6,1,0,0,0,25,23,2,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.025,0,-3.4,1,0,0,0,25,23,2,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.125,0,-2.6,1,0,0,0,25,23,2,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.225,0,1.7,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.325,0,-2.9,1,0,0,0,25,23,2,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.425,0,-0.7,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.525,0,2.9,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.625,0,1.8,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.725,0,-3.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.825,0,-2,1,0,0,0,25,23,2,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:34.925,0,0.5,1,0,0,0,25,23,2,0,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:35.025,0,-3.1,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17:55:35.125,0,2.4,1,0,0,0,25,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.817,34,0,32,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
