task,split,metric,value,sample_count,reference_source
augmentation_retrieval,train,mean_view_cosine_similarity,0.9863892793655396,662,same_window_augmentations
augmentation_retrieval,validation,mean_view_cosine_similarity,0.981839120388031,61,same_window_augmentations
augmentation_retrieval,test,mean_view_cosine_similarity,0.9897724986076355,213,same_window_augmentations
augmentation_retrieval,all,mean_view_cosine_similarity,0.9868625998497009,936,same_window_augmentations
embedding_retrieval,train,mean_neighbor_cosine_similarity,0.9674973527919086,662,none
embedding_retrieval,validation,mean_neighbor_cosine_similarity,0.9691393494206803,61,none
embedding_retrieval,test,mean_neighbor_cosine_similarity,0.9812196215999989,213,none
embedding_retrieval,all,mean_neighbor_cosine_similarity,0.9707270590424196,936,none
