clusters,silhouette,seed_ari
2,0.5720903981312132,1.0
3,0.6665222696960819,1.0
4,0.6386581803356567,1.0
5,0.5561270098834128,0.9944811956226918
6,0.5980908209203231,0.8678916018670226
