,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised
Embeddings,1.0,0.01093916000588841,0.4606250694324322,0.0014573420205923294,-0.11805441313529065
Autoencoder,0.01093916000588841,1.0,0.1638319564249118,0.9840144662920731,0.8130243602840753
Contrastive,0.4606250694324322,0.1638319564249118,1.0,0.14078238310716135,0.028068819227315536
Sequence,0.0014573420205923294,0.9840144662920731,0.14078238310716135,1.0,0.8141688474540505
Unsupervised,-0.11805441313529065,0.8130243602840753,0.028068819227315536,0.8141688474540505,1.0
