recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split,Embeddings_support,Autoencoder_support,Contrastive_support,Sequence_support,Unsupervised_support,consensus_support,support_iqr,method_count
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,0.0,10.0,0.9999853906184912,1.2634342022467209,0.995855312389376,1.9246153795197312,-1.7526129149474672,train,0.6450151057401813,0.4516616314199396,0.9305135951661632,0.4259818731117825,0.43202416918429004,0.4516616314199396,0.21299093655589124,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,2.0,12.0,0.999749833492681,0.4746894069763746,0.990964395101362,0.3831686564146896,-0.5870183079455312,train,0.24924471299093656,0.5694864048338368,0.8141993957703928,0.5800604229607251,0.879154078549849,0.5800604229607251,0.24471299093655596,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,4.0,14.0,0.999999064342615,0.0568676064199475,0.9859272553890712,0.053276282718182,-0.6316422479161089,train,0.9818731117824774,0.8685800604229608,0.6827794561933535,0.8459214501510574,0.8413897280966768,0.8459214501510574,0.027190332326283984,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,6.0,16.0,0.9999942496299816,0.0552625870865909,0.9942721632766238,0.0527439155832002,-0.6610979525265438,train,0.8489425981873112,0.8761329305135952,0.9063444108761329,0.851963746223565,0.7885196374622356,0.851963746223565,0.027190332326283984,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,8.0,18.0,0.9999936340982628,0.0603145544268863,0.994491460203622,0.0576484106502326,-0.6651449194784325,train,0.8262839879154078,0.8459214501510574,0.9169184290030211,0.8308157099697885,0.7749244712990937,0.8308157099697885,0.01963746223564955,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,10.0,20.0,0.9999923800394168,0.0609932785849052,0.9990890471362674,0.0578223691994866,-0.6630919175917032,train,0.7749244712990937,0.8413897280966768,0.9652567975830816,0.8293051359516617,0.783987915407855,0.8293051359516617,0.05740181268882183,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,12.0,22.0,0.9999987964423716,0.0634660124550326,0.9975789801776248,0.0614841901609317,-0.6751462484828914,train,0.972809667673716,0.8262839879154078,0.9561933534743202,0.8187311178247734,0.7522658610271903,0.8262839879154078,0.13746223564954685,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,14.0,24.0,0.9999932126471932,0.0799140614036278,0.9818392868318808,0.0740568177182867,-0.6717441895572356,train,0.8111782477341389,0.7915407854984894,0.6012084592145015,0.7854984894259819,0.756797583081571,0.7854984894259819,0.03474320241691842,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,16.0,26.0,0.999996272066205,0.078300857693393,0.9644920288006636,0.0716516057817391,-0.660236606183288,train,0.9199395770392749,0.7930513595166163,0.3081570996978852,0.7915407854984894,0.7915407854984894,0.7915407854984894,0.0015105740181269312,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,18.0,28.0,0.9999894949957048,0.0823508386722335,0.9793726177680384,0.0748254638462111,-0.6623031856959487,train,0.7190332326283988,0.7809667673716012,0.5241691842900302,0.783987915407855,0.7854984894259819,0.7809667673716012,0.06495468277945615,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,20.0,30.0,0.999993408641047,0.075942291205091,0.982839013978326,0.0706921601578333,-0.6592216724321149,train,0.8202416918429003,0.7990936555891238,0.620845921450151,0.7945619335347432,0.7960725075528701,0.7960725075528701,0.004531722054380571,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,22.0,32.0,0.9999915304845872,0.0722230980854522,0.9837493768009364,0.0643347478264218,-0.6514837216911554,train,0.756797583081571,0.8081570996978852,0.6329305135951662,0.8051359516616314,0.8157099697885196,0.8051359516616314,0.051359516616314216,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,24.0,34.0,0.9999975337951904,0.0545207392834022,0.9944521849704844,0.0475128576749686,-0.6399711678573509,train,0.9486404833836858,0.8851963746223565,0.9138972809667674,0.8987915407854985,0.8338368580060423,0.8987915407854985,0.028700906344410915,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,26.0,36.0,0.9999968606682256,0.0682353586819668,0.9890544661385596,0.0611823630452607,-0.6061244862608862,train,0.9395770392749244,0.8141993957703928,0.770392749244713,0.8202416918429003,0.8625377643504532,0.8202416918429003,0.048338368580060354,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,28.0,38.0,0.9999817998132684,0.0630920865958683,0.9893398712134998,0.0551132750038566,-0.605837312497515,train,0.6072507552870091,0.8277945619335347,0.7764350453172205,0.8398791540785498,0.8640483383685801,0.8277945619335347,0.06344410876132933,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,30.0,40.0,0.9999106792942396,0.0800018545746124,0.9561891470597595,0.0710032812533959,-0.5558185359039552,train,0.3640483383685801,0.7900302114803626,0.24169184290030213,0.7930513595166163,0.9229607250755287,0.7900302114803626,0.42900302114803623,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,32.0,42.0,0.9940868873190424,0.1126380958270111,0.9138637456986812,0.1003142970870354,-0.4059043005815494,train,0.0513595166163142,0.7492447129909365,0.06042296072507553,0.7371601208459214,0.9848942598187311,0.7371601208459214,0.688821752265861,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,34.0,44.0,0.9952889124184654,0.1163083883292706,0.9157461186641592,0.1078067953923322,-0.3504052935534349,train,0.06646525679758308,0.743202416918429,0.06948640483383686,0.7205438066465257,0.9939577039274925,0.7205438066465257,0.6737160120845922,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,36.0,46.0,0.9939011040181036,0.1132769168265398,0.9444218286774052,0.1031976185997329,-0.3872586370724036,train,0.04984894259818731,0.7462235649546828,0.17220543806646527,0.7280966767371602,0.9879154078549849,0.7280966767371602,0.5740181268882175,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,38.0,48.0,0.9961769686789008,0.1206219806774088,0.9431219257758344,0.108492996621827,-0.3798751208836578,train,0.07250755287009064,0.7326283987915407,0.1661631419939577,0.7175226586102719,0.9909365558912386,0.7175226586102719,0.566465256797583,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,40.0,50.0,0.9901819647426484,0.1116316888785595,0.9411340923564616,0.1016616794306716,-0.3798772881439679,train,0.03625377643504532,0.7522658610271903,0.1555891238670695,0.7326283987915407,0.9894259818731118,0.7326283987915407,0.5966767371601208,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,42.0,52.0,0.9952115080260028,0.0866593885008096,0.8411125342992661,0.0805404434987942,-0.4772434698016041,train,0.0634441087613293,0.7719033232628398,0.012084592145015106,0.7673716012084593,0.9712990936555891,0.7673716012084593,0.7084592145015105,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,44.0,54.0,0.9998112631140542,0.0912502435114527,0.9339415139521656,0.084747746872212,-0.5742205498697487,train,0.27492447129909364,0.7643504531722054,0.12235649546827794,0.756797583081571,0.8972809667673716,0.756797583081571,0.48942598187311176,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,46.0,56.0,0.9999932896981654,0.0835783270821592,0.8578607978170568,0.0796065569553242,-0.6700148931144879,train,0.8157099697885196,0.7764350453172205,0.015105740181268883,0.7688821752265861,0.7628398791540786,0.7688821752265861,0.013595166163141936,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,48.0,58.0,0.9999894151836448,0.0857819446712517,0.887855803516639,0.0813868862841643,-0.7027699612442193,train,0.7175226586102719,0.7734138972809668,0.030211480362537766,0.7658610271903323,0.7099697885196374,0.7175226586102719,0.0558912386706949,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,50.0,60.0,0.9999931949776332,0.0827371069833063,0.9003853758256155,0.0779101156325324,-0.7024685321132593,train,0.8066465256797583,0.7779456193353474,0.04380664652567976,0.7734138972809668,0.7114803625377644,0.7734138972809668,0.06646525679758308,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,52.0,62.0,0.9999927984408122,0.0818974323880527,0.9234289441769548,0.076765666722532,-0.7031274751502784,train,0.7870090634441088,0.783987915407855,0.09063444108761329,0.7764350453172205,0.7084592145015106,0.7764350453172205,0.07552870090634434,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,54.0,64.0,0.9999942874450576,0.081625154529795,0.8904114246742452,0.076407472850688,-0.6406621632646209,train,0.8549848942598187,0.7870090634441088,0.03172205438066465,0.7794561933534743,0.8308157099697885,0.7870090634441088,0.051359516616314216,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,56.0,66.0,0.9999368239007762,0.0876349823125138,0.9730086426719814,0.0830161916071814,-0.6230824895280681,train,0.42749244712990936,0.770392749244713,0.4033232628398791,0.7613293051359517,0.8429003021148036,0.7613293051359517,0.34290030211480366,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,58.0,68.0,0.9974573417204424,0.1040435398995049,0.96999039431182,0.0935774413724836,-0.582899472760902,train,0.0891238670694864,0.7537764350453172,0.3595166163141994,0.7416918429003021,0.8851963746223565,0.7416918429003021,0.3942598187311178,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,60.0,70.0,0.9952115080260028,0.1139485326725595,0.9387051812630286,0.1004950290343357,-0.5070788340847339,train,0.0634441087613293,0.7447129909365559,0.13897280966767372,0.7341389728096677,0.9637462235649547,0.7341389728096677,0.6057401812688821,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,62.0,72.0,0.9937988708357288,0.1282714595672094,0.9523444118864096,0.1133624354631978,-0.4566845795941143,train,0.04833836858006042,0.7084592145015106,0.22205438066465258,0.7145015105740181,0.974320241691843,0.7084592145015106,0.49244712990936557,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,64.0,74.0,0.9942576843897888,0.1179774931966685,0.933520293526976,0.1052623531746281,-0.4756988306204372,train,0.055891238670694864,0.7401812688821753,0.11782477341389729,0.7250755287009063,0.972809667673716,0.7250755287009063,0.622356495468278,5
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,66.0,76.0,0.9932201752286828,0.1129480364022188,0.9483046646487168,0.1003472305958704,-0.4808526211433231,train,0.04682779456193353,0.7477341389728097,0.18580060422960726,0.7356495468277946,0.9697885196374623,0.7356495468277946,0.5619335347432024,5
