recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,0.0,10.0,0.6020299145299145,0.42948717948717946,0.8541666666666666,0.405982905982906,0.4091880341880342,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,2.0,12.0,0.21207264957264957,0.5235042735042735,0.7403846153846154,0.532051282051282,0.9102564102564102,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,4.0,14.0,0.9770299145299145,0.8974358974358975,0.6143162393162394,0.8814102564102564,0.875,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,6.0,16.0,0.7964743589743589,0.9027777777777778,0.8226495726495726,0.8856837606837606,0.8279914529914529,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,8.0,18.0,0.7735042735042735,0.8814102564102564,0.8311965811965812,0.8707264957264957,0.8173076923076923,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,10.0,20.0,0.7222222222222222,0.8782051282051282,0.9492521367521367,0.8696581196581197,0.8237179487179487,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,12.0,22.0,0.9610042735042735,0.8664529914529915,0.8915598290598291,0.8611111111111112,0.8002136752136753,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,14.0,24.0,0.7596153846153846,0.8397435897435898,0.5416666666666666,0.8344017094017094,0.8034188034188035,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,16.0,26.0,0.8696581196581197,0.8408119658119658,0.2799145299145299,0.8397435897435898,0.8301282051282052,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,18.0,28.0,0.6698717948717948,0.8301282051282052,0.4754273504273504,0.8333333333333334,0.8247863247863247,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,20.0,30.0,0.7681623931623932,0.8450854700854701,0.5555555555555556,0.8418803418803419,0.8333333333333334,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,22.0,32.0,0.7061965811965812,0.8514957264957265,0.5678418803418803,0.8514957264957265,0.8514957264957265,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,24.0,34.0,0.9134615384615384,0.9102564102564102,0.8285256410256411,0.9198717948717948,0.8696581196581197,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,26.0,36.0,0.8936965811965812,0.8579059829059829,0.6965811965811965,0.8621794871794872,0.8942307692307693,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,28.0,38.0,0.5625,0.8675213675213675,0.7029914529914529,0.8771367521367521,0.8952991452991453,train
18385fe48224fbfa0cd6d17705d9305f857d70ef07b47b55502d04ff71359269,30.0,40.0,0.3173076923076923,0.8386752136752137,0.2152777777777778,0.8408119658119658,0.9412393162393162,train
