,Signal,DTW,Correlation,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised
Signal,1.0,0.2606060606060606,0.5636363636363636,0.45454545454545453,0.2727272727272727,0.34545454545454546,0.2606060606060606,0.3212121212121212
DTW,0.2606060606060606,1.0,0.3696969696969697,-0.3212121212121212,-0.05454545454545454,-0.21212121212121213,-0.04242424242424243,0.28484848484848485
Correlation,0.5636363636363636,0.3696969696969697,1.0,0.15151515151515152,-0.01818181818181818,-0.15151515151515152,-0.05454545454545454,0.17575757575757575
Embeddings,0.45454545454545453,-0.3212121212121212,0.15151515151515152,1.0,-0.1021671826625387,0.5149638802889577,-0.11455108359133127,-0.27347781217750256
Autoencoder,0.2727272727272727,-0.05454545454545454,-0.01818181818181818,-0.1021671826625387,1.0,0.12074303405572756,0.9525283797729618,0.7832817337461301
Contrastive,0.34545454545454546,-0.21212121212121213,-0.15151515151515152,0.5149638802889577,0.12074303405572756,1.0,0.15995872033023736,-0.0010319917440660474
Sequence,0.2606060606060606,-0.04242424242424243,-0.05454545454545454,-0.11455108359133127,0.9525283797729618,0.15995872033023736,1.0,0.7420020639834881
Unsupervised,0.3212121212121212,0.28484848484848485,0.17575757575757575,-0.27347781217750256,0.7832817337461301,-0.0010319917440660474,0.7420020639834881,1.0
