Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
18:17:38.025,0,3.4,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.125,0,1.3,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.225,0,5.2,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.325,0,-1.6,1,0,0,0,26,23,2,0,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.858,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.425,0,3,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.525,0,1.8,1,0,0,0,26,23,2,0,0,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.625,0,2.9,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.725,0,-2.9,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.825,0,-3,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
18:17:38.925,0,2.2,1,0,0,0,26,23,2,0,0,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.863,0.015,14.782,35,0,24,0,0,32,0,0,0,0,0,1,0,0,0
