Time,Motor RPM [Rpm],MC Duty Cycle [%],MC Volts [V],AC Current,DC Current [A],CellId,MC Temp [°C],Motor Temp [°C],Fault Code,MC Throttle [%],Drive Enable,RadIn_Temp [°C],RadOut_Tem [°C],Flowrate,Actual_FOC_id,Actual_FOC_iq,Actual_Brake [%],Rolling_Counter,Relay_State,CRC_Checksum,CRC_Checksum_22,Pack_Current,Pack_CCL,Pack_DCL,Pack_Open_Volta,TSB HighTemp,Pack_SOC,Cell Low,Therm1_Val [°C],Therm1_LowVal [°C],Therm1_HighVal [°C],Therm2_Val [°C],Therm2_LowVal [°C],Therm2_HighVal [°C],Therm1_ID,Therm1_ModNum,AN3 [V],AN6 [V],VBAT [V],Int Temp [°C],CAN1 Load [%],CAN1 ERRORS [hex],CAN2 ERRORS [decimal],ALARMS1 [decimal],uFLAGS1 [decimal],RTD,Energized,LV Low,Motor Temp High,MC Temp High,Logging,TSB Temp,Stop Logging,WATER T ALM
20:06:15.025,0,-0.4,339,0,0,0,44.9,47.9,0,0,1,50,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.125,0,-0.4,339,0,0,0,44.9,47.9,0,0,1,50,48,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.225,0,-0.4,339,0,0,0,44.9,47.9,0,0,1,50,48,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.325,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,49,48,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.858,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.425,0,-0.4,339,0,0,0,44.9,47.9,0,0,1,50,48,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.858,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.525,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.625,0,-0.4,338,0,0,0,44.9,47.9,0,0,1,49,46,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,32,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.725,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,32,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.825,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,49,48,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:15.925,0,-0.4,340,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.025,0,-0.5,338,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,15,15,33,33,32,33,-851583,8,4.858,0.015,14.516,40,0,16,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.125,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,48,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,15,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.225,0,-0.6,339,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.325,0,-0.3,338,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.425,0,-0.5,340,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.525,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,48,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.625,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,48,46,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,32,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.725,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,48,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.825,0,-0.5,339,0,0,0,44.9,47.9,0,0,1,48,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:16.925,0,-0.5,338,0,0,0,44.9,47.9,0,0,1,48,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,33,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:17.025,0,-0.2,339,0,0,0,44.9,47.9,0,0,1,48,46,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,32,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
20:06:17.125,0,-0.4,339,0,0,0,44.9,47.9,0,0,1,49,47,0,0,0,0,0,0,0,0,0,13,190,1,33,33,15,32,15,33,33,32,33,-851583,8,4.863,0.015,14.516,40,0,24,0,0,35,1,1,0,0,0,1,0,0,0
