elapsed_s,shaft_revolutions,electrical_energy_wh,charge_throughput_ah
0.0,0.0,0.0,0.0
0.1,3.0527500000000005,0.2990055555555556,0.0009375
0.2,6.138833333333334,0.6183305555555556,0.0019416666666666666
0.3,9.256666666666668,0.9597388888888889,0.0030152777777777773
0.4,12.440250000000002,1.326466666666667,0.004172222222222222
0.5,15.714416666666668,1.7544513888888889,0.005538888888888888
0.6,19.02525,2.1861083333333333,0.006915277777777776
0.7,22.364,2.5999083333333335,0.008231944444444443
0.8,25.788083333333336,3.0746138888888894,0.009763888888888888
0.9,29.293833333333335,3.6362263888888897,0.011597222222222222
1.0,32.86033333333334,4.209383333333334,0.013465277777777777
1.1,36.46358333333334,4.5869694444444455,0.014672222222222224
1.2,40.043083333333335,4.701905555555557,0.015029166666666668
1.3,43.59708333333334,4.70463888888889,0.015037500000000002
1.4,47.17525,4.762893055555557,0.015216666666666667
1.5,50.77441666666667,4.886602777777779,0.015598611111111112
1.6,54.36108333333334,5.012747222222223,0.015987499999999998
1.7,57.9225,5.129111111111112,0.016344444444444443
1.8,61.456250000000004,5.256369444444445,0.01673611111111111
1.9,64.95725,5.386156944444446,0.01713611111111111
2.0,68.40891666666667,5.469802777777779,0.017393055555555557
2.1,71.80983333333334,5.511131944444446,0.017519444444444445
2.2,75.17541666666668,5.568356944444445,0.017694444444444447
2.3,78.516,5.636572222222223,0.017902777777777778
2.4,81.84491666666668,5.687529166666668,0.018058333333333336
2.5,85.15341666666669,5.752341666666668,0.018256944444444447
2.6,88.4229166666667,5.795808333333334,0.01839027777777778
2.7,91.64675000000003,5.795808333333334,0.01839027777777778
2.8,94.83650000000002,5.795808333333334,0.01839027777777778
2.9,98.00908333333335,5.795808333333334,0.01839027777777778
3.0,101.14141666666669,5.795808333333334,0.01839027777777778
3.1,104.22441666666668,5.795808333333334,0.01839027777777778
3.2,107.23741666666669,5.795808333333334,0.01839027777777778
3.3,110.17841666666668,5.795808333333334,0.01839027777777778
3.4,113.07825000000001,5.795808333333334,0.01839027777777778
3.5,115.90000000000002,5.795808333333334,0.01839027777777778
3.6,118.64025000000002,5.795808333333334,0.01839027777777778
3.7,121.33600000000003,5.795808333333334,0.01839027777777778
3.8,124.01725000000002,5.795808333333334,0.01839027777777778
3.9,126.67216666666668,5.795808333333334,0.01839027777777778
4.0,129.28125000000003,5.79946388888889,0.018401388888888894
4.1,131.9511666666667,6.018369444444445,0.019095833333333336
4.2,134.76183333333339,6.5486277777777815,0.020798611111111122
4.3,137.68758333333338,7.170352777777779,0.022813888888888894
4.4,140.74691666666672,7.808756944444449,0.02489722222222224
4.5,143.9446666666667,8.47321666666667,0.027090277777777786
4.6,147.23208333333335,9.173422222222221,0.0294125
4.7,150.66383333333337,9.94824305555556,0.03199166666666668
4.8,154.31150000000002,10.776825000000002,0.03478194444444445
4.9,158.1234166666667,11.59790833333334,0.037565277777777795
5.0,161.97325000000004,12.425137500000003,0.04036944444444446
5.1,165.72341666666668,13.136452777777778,0.042743055555555555
5.2,169.20175000000003,13.421794444444446,0.04367222222222223
5.3,172.60100000000003,13.657706944444445,0.04443055555555556
5.4,176.12250000000006,14.103527777777781,0.04585972222222224
5.5,179.57250000000005,14.31480277777778,0.046534722222222234
5.6,182.9511666666667,14.31480277777778,0.046534722222222234
5.7,186.3231666666667,14.31480277777778,0.046534722222222234
5.8,189.70400000000004,14.391277777777779,0.04677222222222223
5.9,193.13050000000004,14.672506944444446,0.047663888888888895
6.0,196.63683333333336,15.036702777777778,0.04881944444444445
6.1,200.18016666666668,15.276445833333334,0.04956944444444445
6.2,203.72808333333336,15.421795833333334,0.05001944444444445
6.3,207.2121666666667,15.513105555555555,0.05030138888888889
6.4,210.5718333333334,15.552991666666667,0.050423611111111113
6.5,213.81133333333338,15.566616666666668,0.05046527777777778
6.6,216.90650000000002,15.566616666666668,0.05046527777777778
6.7,219.9246666666667,15.566616666666668,0.05046527777777778
6.8,222.9155,15.609308333333336,0.05059583333333333
6.9,225.90225000000004,15.749348611111115,0.05102777777777778
7.0,228.9214166666667,16.06813055555556,0.05203888888888889
7.1,232.02966666666669,16.507794444444446,0.053445833333333324
7.2,235.2129166666667,16.98164166666667,0.05495972222222222
7.3,238.42625,17.444411111111112,0.0564361111111111
7.4,241.55158333333335,17.65156388888889,0.057095833333333325
7.5,244.56650000000002,17.65156388888889,0.057095833333333325
7.6,247.5596666666667,17.65156388888889,0.057095833333333325
7.7,250.5069166666667,17.679722222222225,0.05718194444444443
7.8,253.49200000000005,17.904755555555557,0.057893055555555545
7.9,256.5306666666667,18.284647222222226,0.059097222222222225
8.0,259.5496666666667,18.624402777777778,0.060170833333333326
8.1,262.4813333333334,18.781141666666667,0.06066527777777777
8.2,265.33516666666674,18.781141666666667,0.06066527777777777
8.3,268.24175000000014,18.97276666666667,0.06127361111111111
8.4,271.2907500000001,19.517563888888887,0.06305138888888888
8.5,274.43108333333345,20.202602777777773,0.06531249999999998
8.6,277.57991666666675,20.724947222222212,0.06700694444444442
8.7,280.60941666666673,20.92223749999999,0.06763055555555553
8.8,283.60683333333344,21.202365277777773,0.06854166666666665
8.9,286.71575000000007,21.72534444444444,0.07023472222222221
9.0,289.82266666666675,22.20480277777777,0.07177638888888886
9.1,292.9235833333334,22.60278333333332,0.07304583333333331
9.2,295.9534166666667,22.770969444444432,0.07357638888888886
9.3,298.8840833333334,22.770969444444432,0.07357638888888886
9.4,301.78216666666674,22.7823236111111,0.07361111111111109
9.5,304.77875000000006,23.127555555555542,0.07475138888888885
9.6,307.9615833333334,23.747540277777762,0.07678888888888884
9.7,311.1345833333334,24.185172222222207,0.07819583333333328
9.8,314.1211666666668,24.336697222222206,0.0786708333333333
9.9,316.98783333333347,24.336697222222206,0.0786708333333333
10.0,319.8734166666668,24.44568888888887,0.07901249999999997
10.1,322.83283333333344,24.71853888888887,0.07986944444444441
10.2,325.68083333333345,24.882397222222203,0.08038472222222219
10.3,328.23266666666683,24.882397222222203,0.08038472222222219
10.4,330.5126666666668,24.882397222222203,0.08038472222222219
10.5,332.7550000000001,24.992518055555536,0.08072777777777775
10.6,335.3220833333334,25.355374999999977,0.08188611111111108
10.7,338.07466666666676,25.827038888888865,0.08339861111111106
10.8,340.76075000000014,26.29792777777776,0.08491388888888887
10.9,343.4660000000001,26.821122222222204,0.0866097222222222
11.0,346.2559166666668,27.348205555555538,0.08832361111111107
11.1,349.14983333333345,27.85162499999998,0.08995833333333329
11.2,352.12516666666676,28.211194444444423,0.09110694444444441
11.3,355.0689166666668,28.328159722222207,0.09147222222222218
11.4,357.9705833333334,28.333124999999985,0.09148749999999996
11.5,360.8990833333334,28.353047222222205,0.09154861111111108
11.6,363.87183333333337,28.584047222222203,0.0922819444444444
11.7,366.884,29.062058333333315,0.09380972222222218
11.8,369.93316666666675,29.557791666666656,0.0953986111111111
11.9,373.0220833333334,29.832491666666655,0.09627361111111109
12.0,376.11650000000003,29.913041666666654,0.09652222222222219
12.1,379.22425000000004,30.012740277777763,0.09683055555555553
12.2,382.35325,30.127594444444426,0.09718472222222219
12.3,385.46225000000004,30.222261111111095,0.09747638888888886
12.4,388.5386666666667,30.316172222222207,0.09776666666666664
12.5,391.5894166666667,30.403590277777763,0.09803611111111109
12.6,394.61808333333335,30.46994444444443,0.09824027777777775
12.7,397.63366666666667,30.536749999999984,0.09844583333333332
12.8,400.6238333333334,30.62146944444443,0.09870694444444442
