recording_id,split,control_candidate,rank,channels,lag_samples,lag_s,correlation,prominence,cycle_count,review_candidate
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,train,False,2,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,97.8,0.15912004406948177,,2.3425357873210633,False
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,train,False,3,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,102.4,0.13317267142053202,,2.2373046875,False
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,train,False,4,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,92.3,0.12578523794466526,,2.4821235102925243,False
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,train,False,5,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,93.1,0.1193154187602374,,2.460794844253491,False
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,validation,False,1,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,17.3,0.16536661314439302,,3.7976878612716765,False
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,validation,False,2,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,17.5,0.1647745719628444,,3.7542857142857144,False
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,validation,False,3,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,19.9,0.14681379347465476,,3.3015075376884426,False
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,validation,False,4,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,18.7,0.12403664118523208,,3.5133689839572195,False
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,validation,False,5,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,24.5,-0.15327508443059842,,2.6816326530612247,False
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,validation,False,1,"[""Motor RPM [Rpm]"", ""MC Duty Cycle [%]"", ""AC Current"", ""DC Current [A]"", ""Pack_Current""]",,42.5,0.7742969728755065,,2.1082352941176468,True
