recording_id,Signal,DTW,Correlation,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split,motion_status
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,,,,0.7619047619047619,0.14285714285714285,0.47619047619047616,0.23809523809523808,0.8571428571428571,train,moving_candidate
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,,,,0.8095238095238095,0.3333333333333333,0.09523809523809523,0.2857142857142857,0.09523809523809523,train,moving_candidate
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,,,0.06666666666666667,0.047619047619047616,0.7619047619047619,0.42857142857142855,0.7619047619047619,0.8095238095238095,train,moving_candidate
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,0.23076923076923078,0.15384615384615385,0.4666666666666667,0.23809523809523808,0.5238095238095238,0.7142857142857143,0.47619047619047616,0.9523809523809523,train,moving_candidate
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,0.07692307692307693,0.07692307692307693,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.38095238095238093,train,moving_candidate
2f775054c4e7bb342cf49e0ee66406e82353c274c103fc7f7d6a93ea329aea86,,,,0.7142857142857143,0.2857142857142857,0.047619047619047616,0.42857142857142855,0.047619047619047616,train,moving_candidate
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,0.6153846153846154,0.38461538461538464,0.4,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.6190476190476191,train,stationary_candidate
4c8d0190b666e26315ce16c862ca2e968d576e14537487162bbd73b9a47d0c07,,,,0.6666666666666666,0.38095238095238093,0.14285714285714285,0.3333333333333333,0.14285714285714285,train,moving_candidate
554af5ad576c1c1d069356649e3bd1e2699a5801f6a0fa703e0c50db726bae3b,,,,1.0,1.0,1.0,1.0,0.3333333333333333,train,stationary_candidate
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,0.3076923076923077,0.46153846153846156,0.26666666666666666,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.47619047619047616,train,stationary_candidate
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,0.8461538461538461,0.9230769230769231,0.8,0.42857142857142855,0.23809523809523808,0.2857142857142857,0.19047619047619047,0.7142857142857143,train,moving_candidate
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,0.5384615384615384,0.7692307692307693,0.6,0.09523809523809523,0.6666666666666666,0.5238095238095238,0.6666666666666666,1.0,train,moving_candidate
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,0.7692307692307693,0.6153846153846154,0.7333333333333333,0.3333333333333333,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.19047619047619047,train,moving_candidate
67460352e955edbaf8a0e73406f2aa4726aa14abea0a93abbe0484dccf14d5c3,,,0.13333333333333333,0.19047619047619047,0.09523809523809523,0.5714285714285714,0.047619047619047616,0.2857142857142857,train,moving_candidate
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,0.38461538461538464,0.6923076923076923,0.9333333333333333,0.38095238095238093,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.42857142857142855,validation,moving_candidate
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,1.0,1.0,1.0,0.14285714285714285,0.6190476190476191,0.6666666666666666,0.5238095238095238,0.9047619047619048,validation,moving_candidate
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,0.6923076923076923,0.3076923076923077,0.3333333333333333,0.9523809523809523,0.8571428571428571,0.9523809523809523,0.9047619047619048,0.6666666666666666,validation,stationary_candidate
c5c639ca1fa3038e565a432a960cb53f6ce533ad9612d27f229f6527fcf0edac,0.46153846153846156,0.5384615384615384,0.2,0.5238095238095238,0.9523809523809523,0.8095238095238095,0.8571428571428571,0.5714285714285714,test,stationary_candidate
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,0.9230769230769231,0.8461538461538461,0.8666666666666667,0.6190476190476191,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.23809523809523808,test,moving_candidate
f26c5b91a912f9e98e0205e2518d5b3de0314b04b69c3bc6d0148fa8ea3e842b,,,,0.47619047619047616,0.42857142857142855,0.23809523809523808,0.5714285714285714,0.7619047619047619,test,moving_candidate
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,0.15384615384615385,0.23076923076923078,0.5333333333333333,0.5714285714285714,0.47619047619047616,0.3333333333333333,0.38095238095238093,0.5238095238095238,test,moving_candidate
