recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,16.0,26.0,0.762,0.934,0.752,0.946,0.66,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,18.0,28.0,0.002,0.488,0.394,0.446,0.8,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,20.0,30.0,0.257,0.304,0.567,0.116,0.328,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,22.0,32.0,0.295,0.308,0.611,0.102,0.298,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,24.0,34.0,0.394,0.306,0.739,0.092,0.314,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,26.0,36.0,0.378,0.198,0.593,0.09,0.344,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,28.0,38.0,0.536,0.156,0.589,0.114,0.358,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,30.0,40.0,0.349,0.53,0.537,0.44,0.926,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,32.0,42.0,0.334,0.524,0.554,0.484,0.96,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,34.0,44.0,0.414,0.452,0.392,0.478,0.958,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,36.0,46.0,0.397,0.39,0.446,0.45,0.954,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,38.0,48.0,0.615,0.472,0.452,0.494,0.956,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,40.0,50.0,0.364,0.466,0.386,0.486,0.914,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,42.0,52.0,0.346,0.482,0.671,0.48,0.912,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,44.0,54.0,0.43,0.502,0.348,0.498,0.93,train
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,46.0,56.0,0.443,0.504,0.527,0.504,0.996,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,0.0,10.0,0.926,0.98,0.904,0.938,0.39,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,2.0,12.0,0.924,0.998,0.902,0.936,0.384,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,4.0,14.0,0.138,0.568,0.102,0.586,0.688,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,6.0,16.0,0.136,0.426,0.503,0.206,0.728,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,8.0,18.0,0.385,0.476,0.518,0.018,0.22,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,10.0,20.0,0.389,0.226,0.513,0.01,0.2,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,12.0,22.0,0.461,0.228,0.639,0.006,0.23,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,14.0,24.0,0.426,0.152,0.547,0.012,0.24,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,16.0,26.0,0.581,0.112,0.571,0.038,0.31,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,18.0,28.0,0.202,0.546,0.62,0.492,0.792,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,20.0,30.0,0.278,0.486,0.38,0.552,0.952,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,22.0,32.0,0.435,0.41,0.111,0.422,0.288,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,24.0,34.0,0.478,0.35,0.058,0.292,0.284,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,26.0,36.0,0.374,0.378,0.629,0.262,0.262,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,28.0,38.0,0.302,0.386,0.604,0.266,0.264,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,30.0,40.0,0.397,0.398,0.47,0.278,0.276,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,32.0,42.0,0.191,0.544,0.657,0.432,0.908,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,34.0,44.0,0.271,0.596,0.695,0.55,0.916,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,36.0,46.0,0.133,0.61,0.719,0.588,0.946,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,38.0,48.0,0.141,0.618,0.551,0.616,0.948,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,40.0,50.0,0.008,0.608,0.53,0.624,0.864,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,42.0,52.0,0.117,0.626,0.715,0.662,0.806,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,44.0,54.0,0.222,0.702,0.431,0.948,0.708,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,46.0,56.0,0.45,0.748,0.378,0.99,0.666,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,48.0,58.0,0.8,1.0,0.796,0.94,0.424,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,50.0,60.0,0.968,0.982,0.968,0.934,0.388,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,52.0,62.0,0.988,0.972,0.988,0.926,0.382,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,54.0,64.0,0.995,0.974,0.991,0.932,0.378,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,56.0,66.0,0.976,0.976,0.98,0.912,0.394,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,58.0,68.0,0.578,0.714,0.754,0.686,0.352,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,60.0,70.0,0.204,0.682,0.388,0.658,0.348,train
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,62.0,72.0,0.162,0.678,0.26,0.642,0.324,train
