,Signal,DTW,Correlation,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised
Signal,1.0,0.8021978021978022,0.44505494505494503,0.04945054945054945,-0.26373626373626374,-0.24725274725274726,-0.29120879120879123,0.1043956043956044
DTW,0.8021978021978022,1.0,0.6043956043956044,-0.23076923076923078,-0.32967032967032966,-0.46153846153846156,-0.3956043956043956,0.12087912087912088
Correlation,0.44505494505494503,0.6043956043956044,1.0,-0.039285714285714285,-0.44285714285714284,-0.36428571428571427,-0.4035714285714286,-0.09642857142857143
Embeddings,0.04945054945054945,-0.23076923076923078,-0.039285714285714285,1.0,0.21038961038961038,0.18051948051948052,0.2636363636363636,-0.38441558441558443
Autoencoder,-0.26373626373626374,-0.32967032967032966,-0.44285714285714284,0.21038961038961038,1.0,0.7623376623376623,0.9675324675324676,0.3103896103896104
Contrastive,-0.24725274725274726,-0.46153846153846156,-0.36428571428571427,0.18051948051948052,0.7623376623376623,1.0,0.7207792207792207,0.36493506493506495
Sequence,-0.29120879120879123,-0.3956043956043956,-0.4035714285714286,0.2636363636363636,0.9675324675324676,0.7207792207792207,1.0,0.2987012987012987
Unsupervised,0.1043956043956044,0.12087912087912088,-0.09642857142857143,-0.38441558441558443,0.3103896103896104,0.36493506493506495,0.2987012987012987,1.0
