recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split,Embeddings_support,Autoencoder_support,Contrastive_support,Sequence_support,Unsupervised_support,consensus_support,support_iqr,method_count
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,0.0,10.0,0.999995585666508,0.5173072265144222,0.9959328884209624,0.5584485606556505,-4.121486761391979,train,0.7177177177177178,0.10810810810810811,0.6576576576576577,0.14114114114114115,0.3663663663663664,0.3663663663663664,0.5165165165165165,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,2.0,12.0,0.9999569577399716,0.3302331030471865,0.9969525149895158,0.2100671188215432,-2.9942688354652858,train,0.4114114114114114,0.24924924924924924,0.7057057057057057,0.3333333333333333,0.7357357357357357,0.4114114114114114,0.37237237237237236,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,4.0,14.0,0.9999990277045528,0.379865130954903,0.9826158092741688,0.2133704677084481,-2.865904998510959,train,0.8048048048048048,0.1831831831831832,0.3213213213213213,0.32432432432432434,0.7807807807807807,0.32432432432432434,0.45945945945945943,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,6.0,16.0,0.9999975045031702,0.3016988432111834,0.995931131769432,0.2118859291155412,-6.175443157669772,train,0.7777777777777778,0.27927927927927926,0.6546546546546547,0.3303303303303303,0.21621621621621623,0.3303303303303303,0.3753753753753754,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,8.0,18.0,0.999995394261083,0.2901056911835412,0.9474198905664812,0.1974288148335543,-5.284620569853588,train,0.7057057057057057,0.2912912912912913,0.06306306306306306,0.35435435435435436,0.27927927927927926,0.2912912912912913,0.0750750750750751,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,10.0,20.0,0.999992092811568,0.2842875304752044,0.9641007969512888,0.202059804226156,-2.923983921558532,train,0.6276276276276276,0.29429429429429427,0.15915915915915915,0.3483483483483483,0.7627627627627628,0.3483483483483483,0.3333333333333333,5
07173121b1534f1eadb8b127005d4eff70872388074c2bbe0c93061527d89f40,12.0,22.0,0.9999887460515028,0.2227128670232829,0.9924694364504396,0.1645137237532611,-2.809644653464496,train,0.5735735735735735,0.37537537537537535,0.5255255255255256,0.4444444444444444,0.8048048048048048,0.5255255255255256,0.1291291291291291,5
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,0.0,10.0,0.9999993532958968,0.2389461716048827,0.9628637217293734,0.2084350556320338,-9.813871721705294,train,0.8108108108108109,0.35735735735735735,0.15315315315315314,0.33633633633633636,0.08708708708708708,0.33633633633633636,0.2042042042042042,5
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,2.0,12.0,0.9999967159899276,0.2560271159586181,0.9505225459042712,0.2237130550543397,-9.476634688819484,train,0.7507507507507507,0.3213213213213213,0.08108108108108109,0.3123123123123123,0.0990990990990991,0.3123123123123123,0.2222222222222222,5
1a8433bf1168531d6f7c2deb5c37b27de5ddf1d9f65316416ecbf000289fd40a,4.0,14.0,0.9999975786800634,0.179878049745433,0.9586070070633244,0.1752681307940671,-4.853354070781439,train,0.7837837837837838,0.45045045045045046,0.12912912912912913,0.4144144144144144,0.3183183183183183,0.4144144144144144,0.13213213213213215,5
