recording_id,signal_score,signal_period_s,dtw_margin,dtw_pair_count,correlation_score,correlation_period_s,period_agreement,signal_support,dtw_support,correlation_support,period_support,signal_family_support,shape_family_support,fused_support,family_dispersion,method_count,evidence_status,dependency_note
6faa006353747cbeb4e6d2e90954728110cb94fabfcd41e319270d4cde22f117,0.7742969728755065,42.5,1.8324711686739497,10.0,0.9289850983115676,41.9,0.9858823529411764,1.0,1.0,1.0,0.6923076923076923,1.0,1.0,1.0,0.0,3,review,dtw_uses_signal_period_teacher
5e9e04831922d971561f6ffb53b2c77744d905cca01dcc2fe043d10b2f63c613,0.2735476573439087,19.9,0.6117518576590162,3.0,0.3557501108234832,19.8,0.9949748743718594,0.8461538461538461,0.9230769230769231,0.8,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.8846153846153846,0.03846153846153849,3,review,dtw_uses_signal_period_teacher
e57d3de89d6f2a3165aa05beee7b611f60923e090254337c1b48f744c78db52d,0.2841150559744723,23.3,0.46200697835121285,10.0,0.465751856298214,23.7,0.9831223628691984,0.9230769230769231,0.8461538461538461,0.8666666666666667,0.6153846153846154,0.8666666666666667,0.8461538461538461,0.8564102564102565,0.010256410256410275,3,review,dtw_uses_signal_period_teacher
667a6e15a4394db30d7cce7a4db319041453bfa306b566a87e84b213d81efb29,0.2573251687690766,105.0,0.2165935052632189,10.0,0.2775641407024835,105.9,0.9915014164305949,0.7692307692307693,0.6153846153846154,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.6153846153846154,0.6923076923076923,0.07692307692307693,3,review,dtw_uses_signal_period_teacher
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,0.2046473438487218,42.3,0.35949562921379513,10.0,0.2856332456159958,40.0,0.9456264775413713,0.5384615384615384,0.7692307692307693,0.7333333333333333,0.5384615384615384,0.5384615384615384,0.7692307692307693,0.6538461538461539,0.11538461538461542,3,weak,dtw_uses_signal_period_teacher
6939b3836a088e9113eb3bffcf362bed963a71bbd9012ecb56dc61e6d500da39,0.165366613144393,17.3,0.2280304976457835,10.0,0.4683055229914759,20.6,0.8398058252427184,0.38461538461538464,0.6923076923076923,0.9333333333333333,0.46153846153846156,0.46153846153846156,0.6923076923076923,0.5769230769230769,0.11538461538461536,3,weak,dtw_uses_signal_period_teacher
c5c639ca1fa3038e565a432a960cb53f6ce533ad9612d27f229f6527fcf0edac,0.1768512165261555,16.7,0.0043348290080038,1.0,0.0883643303918958,16.7,1.0,0.46153846153846156,0.5384615384615384,0.13333333333333333,1.0,0.46153846153846156,0.5384615384615384,0.5,0.038461538461538436,3,weak,dtw_uses_signal_period_teacher
67460352e955edbaf8a0e73406f2aa4726aa14abea0a93abbe0484dccf14d5c3,,,,,0.1909343255708403,18.5,,,,0.4666666666666667,,0.4666666666666667,,0.4666666666666667,0.0,1,insufficient_evidence,dtw_uses_signal_period_teacher
564a12f3d813c10242613a907d2b4981e7296739ba9a560571b3547dab1daa7f,0.1087171063872347,28.4,0.00195614053493185,10.0,0.1416472165057329,15.2,0.5352112676056338,0.3076923076923077,0.46153846153846156,0.3333333333333333,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.07692307692307693,3,weak,dtw_uses_signal_period_teacher
382db1f8ede73f956341d7b461790125339762ec9d7cc96480f20aefe04d77e1,0.2350875614164327,28.3,0.000443916320922,10.0,0.1387548146861627,20.8,0.734982332155477,0.6153846153846154,0.38461538461538464,0.26666666666666666,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,3,weak,dtw_uses_signal_period_teacher
f8a2dfe19bc591bed40778fcb493d9a34a3261518b2f4b416ba15a9402ec6dd7,0.054776937096673,16.6,-0.1508369460704224,5.0,0.1826947565557314,16.5,0.9939759036144578,0.15384615384615385,0.23076923076923078,0.4,0.8461538461538461,0.4,0.23076923076923078,0.3153846153846154,0.08461538461538462,3,weak,dtw_uses_signal_period_teacher
953f71ef131b4c5ce7211560abcbafbfe0079e72cf2190c2908d3ff00cf5db12,0.2566840927708225,37.1,0.00021203630433699996,10.0,0.1279609294569682,19.2,0.5175202156334232,0.6923076923076923,0.3076923076923077,0.2,0.07692307692307693,0.2,0.3076923076923077,0.25384615384615383,0.05384615384615385,3,weak,dtw_uses_signal_period_teacher
200a690cbeb5a4d9f415d6a933e60aa13a0cf5ee5c03c71731d7739c8ecbda5e,0.0632107407424815,22.5,-0.695042100524981,10.0,0.2506001963056957,15.1,0.6711111111111111,0.23076923076923078,0.15384615384615385,0.5333333333333333,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.19230769230769232,0.038461538461538464,3,weak,dtw_uses_signal_period_teacher
25aa01e1dcbaea32c062e01b0f782c938c34163fc58af14087dfe2f77906c06e,-0.0761917366660444,22.6,-0.9246406926700186,10.0,0.2698776212953688,15.5,0.6858407079646017,0.07692307692307693,0.07692307692307693,0.6,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.19230769230769232,0.11538461538461539,3,weak,dtw_uses_signal_period_teacher
1cca7c275163fc193899535ebb0c13f26676e8568d3c8adac48dbcc224812b0c,,,,,-0.8122419467339285,15.5,,,,0.06666666666666667,,0.06666666666666667,,0.06666666666666667,0.0,1,insufficient_evidence,dtw_uses_signal_period_teacher
